Rk,Tm,G,Att,Yds,TD,Y/A,Y/G,EXP
1.0,Green Bay Packers,1.0,22.0,46.0,0.0,2.1,46.0,6.82
2.0,Cleveland Browns,1.0,23.0,46.0,1.0,2.0,46.0,5.49
3.0,Cincinnati Bengals,1.0,24.0,49.0,1.0,2.0,49.0,0.54
4.0,New York Jets,1.0,20.0,53.0,0.0,2.7,53.0,1.37
5.0,New England Patriots,1.0,24.0,56.0,1.0,2.3,56.0,8.52
6.0,Las Vegas Raiders,1.0,18.0,60.0,0.0,3.3,60.0,5.9
7.0,Tampa Bay Buccaneers,1.0,28.0,69.0,1.0,2.5,69.0,1.06
8.0,Denver Broncos,1.0,21.0,71.0,0.0,3.4,71.0,8.33
9.0,Houston Texans,1.0,25.0,72.0,1.0,2.9,72.0,4.06
10.0,Washington Commanders,1.0,23.0,74.0,0.0,3.2,74.0,0.82
11.0,Indianapolis Colts,1.0,12.0,78.0,0.0,6.5,78.0,-4.37
12.0,Detroit Lions,1.0,25.0,78.0,1.0,3.1,78.0,2.91
13.0,San Francisco 49ers,1.0,26.0,84.0,1.0,3.2,84.0,1.29
14.0,Kansas City Chiefs,1.0,25.0,90.0,0.0,3.6,90.0,0.59
15.0,Los Angeles Chargers,1.0,17.0,98.0,1.0,5.8,98.0,-8.79
16.0,Atlanta Falcons,1.0,23.0,101.0,0.0,4.4,101.0,-0.79
17.0,Arizona Cardinals,1.0,22.0,107.0,1.0,4.9,107.0,-2.85
18.0,Baltimore Ravens,1.0,31.0,108.0,3.0,3.5,108.0,0.18
19.0,Jacksonville Jaguars,1.0,25.0,113.0,0.0,4.5,113.0,1.01
20.0,Los Angeles Rams,1.0,27.0,114.0,0.0,4.2,114.0,-2.5
21.0,Seattle Seahawks,1.0,36.0,119.0,0.0,3.3,119.0,5.81
22.0,Minnesota Vikings,1.0,26.0,119.0,1.0,4.6,119.0,-2.38
23.0,Philadelphia Eagles,1.0,22.0,119.0,2.0,5.4,119.0,-2.87
24.0,Chicago Bears,1.0,26.0,120.0,1.0,4.6,120.0,-0.65
25.0,New Orleans Saints,1.0,27.0,146.0,0.0,5.4,146.0,-2.3
26.0,Tennessee Titans,1.0,30.0,151.0,1.0,5.0,151.0,1.56
27.0,Miami Dolphins,1.0,40.0,156.0,2.0,3.9,156.0,-3.58
28.0,Dallas Cowboys,1.0,38.0,158.0,3.0,4.2,158.0,-8.66
29.0,Pittsburgh Steelers,1.0,39.0,182.0,3.0,4.7,182.0,-6.52
30.0,Carolina Panthers,1.0,32.0,200.0,1.0,6.3,200.0,-5.88
31.0,New York Giants,1.0,32.0,220.0,2.0,6.9,220.0,-11.94
32.0,Buffalo Bills,1.0,29.0,238.0,3.0,8.2,238.0,-10.22
,Avg Team,,26.2,109.2,1.0,4.2,109.2,-0.6
,League Total,,838.0,3495.0,31.0,4.2,109.2,
,Avg Tm/G,,26.2,109.2,1.0,4.2,109.2,
