Tm,Total,Offense Tot,Offense Pass,Offense Rush,Offense TOvr,Defense Tot,Defense Pass,Defense Rush,Defense TOvr,Special Teams Tot,Special Teams KO,Special Teams KR,Special Teams P,Special Teams PR,Special Teams FG/XP,week,year,game_id
Cowboys,2.0,0.39,5.91,-3.59,-10.75,0.45,-6.11,3.52,9.35,1.92,-3.05,5.16,0.96,-2.73,1.58,17.0,2023,242
Lions,-2.0,-0.45,6.11,-3.52,-9.35,-0.39,-5.91,3.59,10.75,-1.92,-5.16,3.05,2.73,-0.96,-1.58,17.0,2023,242
