Quarter,Time,Tm,Detail,LVR,IND,week,year,game_id
1.0,12:11,Colts,Jonathan Taylor 5 yard rush (Matt Gay kick),0,7,17.0,2023,246
,5:57,Raiders,Daniel Carlson 40 yard field goal,3,7,17.0,2023,246
2.0,3:53,Colts,Alec Pierce 58 yard pass from Gardner Minshew II (Matt Gay kick),3,14,17.0,2023,246
3.0,6:31,Raiders,Davante Adams 4 yard pass from Aidan O'Connell (Daniel Carlson kick),10,14,17.0,2023,246
,1:17,Colts,Matt Gay 38 yard field goal,10,17,17.0,2023,246
4.0,7:34,Colts,Matt Gay 33 yard field goal,10,20,17.0,2023,246
,4:35,Raiders,Daniel Carlson 33 yard field goal,13,20,17.0,2023,246
,3:11,Colts,Matt Gay 45 yard field goal,13,23,17.0,2023,246
,0:43,Raiders,Davante Adams 1 yard pass from Aidan O'Connell (Daniel Carlson kick),20,23,17.0,2023,246
