Quarter,Time,Tm,Detail,LAR,NYG,week,year,game_id
1.0,3:07,Rams,Kyren Williams 4 yard rush (Lucas Havrisik kick),7,0,17.0,2023,251
2.0,13:03,Giants,Wan'Dale Robinson 24 yard rush (Mason Crosby kick),7,7,17.0,2023,251
,1:44,Rams,Cooper Kupp 5 yard pass from Matthew Stafford (Lucas Havrisik kick),14,7,17.0,2023,251
,0:00,Giants,Mason Crosby 31 yard field goal,14,10,17.0,2023,251
3.0,10:17,Rams,Kyren Williams 2 yard rush (Lucas Havrisik kick failed),20,10,17.0,2023,251
,4:39,Giants,Darius Slayton 80 yard pass from Tyrod Taylor (Mason Crosby kick failed),20,16,17.0,2023,251
4.0,13:24,Giants,Mason Crosby 32 yard field goal,20,19,17.0,2023,251
,12:03,Rams,Kyren Williams 28 yard rush (Lucas Havrisik kick failed),26,19,17.0,2023,251
,3:27,Giants,Gunner Olszewski 94 yard punt return (pass failed),26,25,17.0,2023,251
