Unnamed: 0,LAR,NYG,week,year,game_id
First Downs,22,17,17.0,2023,251
Rush-Yds-TDs,23-105-3,20-105-1,17.0,2023,251
Cmp-Att-Yd-TD-INT,24-34-317-1-2,27-41-319-1-1,17.0,2023,251
Sacked-Yards,4-31,6-35,17.0,2023,251
Net Pass Yards,286,284,17.0,2023,251
Total Yards,391,389,17.0,2023,251
Fumbles-Lost,2-1,1-0,17.0,2023,251
Turnovers,3,1,17.0,2023,251
Penalties-Yards,3-28,7-65,17.0,2023,251
Third Down Conv.,2-8,5-16,17.0,2023,251
Fourth Down Conv.,0-1,1-3,17.0,2023,251
Time of Possession,30:11,29:49,17.0,2023,251
