Quarter,Time,Tm,Detail,NOR,TAM,week,year,game_id
1.0,7:04,Saints,Juwan Johnson 4 yard pass from Derek Carr (Blake Grupe kick),7,0,17.0,2023,250
2.0,1:53,Saints,Taysom Hill 22 yard pass from Derek Carr (Blake Grupe kick),14,0,17.0,2023,250
,0:09,Saints,Blake Grupe 45 yard field goal,17,0,17.0,2023,250
3.0,4:25,Saints,Blake Grupe 28 yard field goal,20,0,17.0,2023,250
4.0,7:50,Buccaneers,Trey Palmer 22 yard pass from Baker Mayfield (Chase McLaughlin kick),20,7,17.0,2023,250
,3:48,Saints,Blake Grupe 38 yard field goal,23,7,17.0,2023,250
,1:37,Buccaneers,Chris Godwin 47 yard pass from Baker Mayfield (pass failed),23,13,17.0,2023,250
