Quarter,Time,Tm,Detail,CIN,KAN,week,year,game_id
1.0,6:21,Bengals,Evan McPherson 34 yard field goal,3,0,17.0,2023,254
,2:58,Chiefs,Isiah Pacheco 8 yard pass from Patrick Mahomes (Harrison Butker kick),3,7,17.0,2023,254
2.0,11:29,Bengals,Joe Mixon 7 yard pass from Jake Browning (Evan McPherson kick),10,7,17.0,2023,254
,6:23,Bengals,Jake Browning 1 yard rush (Evan McPherson kick),17,7,17.0,2023,254
,3:44,Chiefs,Harrison Butker 54 yard field goal,17,10,17.0,2023,254
,0:35,Chiefs,Harrison Butker 43 yard field goal,17,13,17.0,2023,254
3.0,4:31,Chiefs,Harrison Butker 27 yard field goal,17,16,17.0,2023,254
4.0,14:09,Chiefs,Harrison Butker 24 yard field goal,17,19,17.0,2023,254
,6:18,Chiefs,Harrison Butker 48 yard field goal,17,22,17.0,2023,254
,2:59,Chiefs,Harrison Butker 46 yard field goal,17,25,17.0,2023,254
