Quarter,Time,Down,ToGo,Location,DET,DAL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Cowboys won the coin toss and deferred, Lions to receive the opening kickoff.",,,17.0,2023,242
1.0,15:00,,,DAL 35,0.0,0.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,242
1.0,15:00,1.0,10.0,DET 25,0.0,0.0,David Montgomery up the middle for no gain (tackle by DeMarcus Lawrence),0.61,0.06,17.0,2023,242
1.0,14:28,2.0,10.0,DET 25,0.0,0.0,Jared Goff pass incomplete short right intended for Josh Reynolds,0.06,-0.62,17.0,2023,242
1.0,14:24,3.0,10.0,DET 25,0.0,0.0,Jared Goff pass complete short middle to Kalif Raymond for 11 yards (tackle by Donovan Wilson and Jourdan Lewis),-0.62,1.33,17.0,2023,242
1.0,13:51,1.0,10.0,DET 36,0.0,0.0,Jared Goff pass complete deep middle to Amon-Ra St. Brown for 23 yards (tackle by DaRon Bland),1.33,2.85,17.0,2023,242
1.0,13:04,1.0,10.0,DAL 41,0.0,0.0,David Montgomery right guard for 7 yards (tackle by Micah Parsons),2.85,3.25,17.0,2023,242
1.0,12:29,2.0,3.0,DAL 34,0.0,0.0,David Montgomery right guard for no gain (tackle by Micah Parsons),3.25,2.54,17.0,2023,242
1.0,11:53,,,,,,Timeout #1 by Dallas Cowboys,,,17.0,2023,242
1.0,11:53,3.0,3.0,DAL 34,0.0,0.0,David Montgomery up the middle for 11 yards (tackle by Jayron Kearse),2.54,4.04,17.0,2023,242
1.0,11:16,1.0,10.0,DAL 23,0.0,0.0,Jared Goff pass incomplete short left intended for Jahmyr Gibbs,4.04,3.5,17.0,2023,242
1.0,11:12,2.0,10.0,DAL 23,0.0,0.0,Jared Goff pass incomplete short right intended for Sam LaPorta (defended by Jayron Kearse),3.5,2.81,17.0,2023,242
1.0,11:09,3.0,10.0,DAL 23,0.0,0.0,"Jared Goff pass complete short left to Jahmyr Gibbs for no gain (tackle by Jourdan Lewis). Penalty on Jonah Jackson: Offensive Illegal Block Above the Waist, 15 yards (declined)",2.81,1.93,17.0,2023,242
1.0,10:50,4.0,10.0,DAL 23,3.0,0.0,Michael Badgley 41 yard field goal good,1.93,3.0,17.0,2023,242
1.0,10:46,,,DET 35,3.0,0.0,"Jack Fox kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,242
1.0,10:46,1.0,10.0,DAL 25,3.0,0.0,Dak Prescott pass complete short middle to Jake Ferguson for 8 yards (tackle by Alex Anzalone),0.61,1.14,17.0,2023,242
1.0,10:15,2.0,2.0,DAL 33,3.0,0.0,Tony Pollard left end for -2 yards (tackle by Aidan Hutchinson and Alex Anzalone),1.14,0.17,17.0,2023,242
1.0,9:33,3.0,4.0,DAL 31,3.0,0.0,Dak Prescott pass complete short right to CeeDee Lamb for 31 yards (tackle by Cameron Sutton),0.17,3.05,17.0,2023,242
1.0,8:56,1.0,10.0,DET 38,3.0,0.0,Dak Prescott pass complete short left to Peyton Hendershot for 6 yards (tackle by Kerby Joseph),3.05,3.32,17.0,2023,242
1.0,8:16,2.0,4.0,DET 32,3.0,0.0,Dak Prescott pass incomplete deep right intended for Brandin Cooks,3.32,2.61,17.0,2023,242
1.0,8:10,3.0,4.0,DET 32,3.0,0.0,Dak Prescott pass short right intended for CeeDee Lamb is intercepted by Ifeatu Melifonwu at DET-19 and returned for 24 yards (tackle by CeeDee Lamb),2.61,-1.8,17.0,2023,242
1.0,7:59,1.0,10.0,DET 43,3.0,0.0,Jahmyr Gibbs up the middle for 2 yards (tackle by Osa Odighizuwa and Jourdan Lewis),1.8,1.52,17.0,2023,242
1.0,7:16,2.0,8.0,DET 45,3.0,0.0,Jared Goff pass complete short left to Amon-Ra St. Brown for 13 yards (tackle by Donovan Wilson and DeMarcus Lawrence),1.52,2.79,17.0,2023,242
1.0,6:40,1.0,10.0,DAL 42,3.0,0.0,Jameson Williams right end for 6 yards (tackle by Jourdan Lewis),2.79,3.05,17.0,2023,242
