Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Ryan Tannehill,TEN,0,0,0,0,0,17.0,2023,248
Will Levis,TEN,0,0,0,0,0,17.0,2023,248
Derrick Henry,TEN,1,0,0,0,0,17.0,2023,248
Jonathan Ward,TEN,0,0,0,0,0,17.0,2023,248
DeAndre Hopkins,TEN,7,7,72,0,18,17.0,2023,248
Chigoziem Okonkwo,TEN,4,3,34,0,21,17.0,2023,248
Chris Moore,TEN,3,1,32,0,32,17.0,2023,248
Tyjae Spears,TEN,6,4,29,0,10,17.0,2023,248
Treylon Burks,TEN,3,2,11,0,7,17.0,2023,248
Kevin Rader,TEN,1,1,6,0,6,17.0,2023,248
C.J. Stroud,HOU,0,0,0,0,0,17.0,2023,248
Devin Singletary,HOU,3,3,6,0,3,17.0,2023,248
Dameon Pierce,HOU,1,1,5,0,5,17.0,2023,248
Nico Collins,HOU,8,7,80,0,21,17.0,2023,248
John Metchie,HOU,3,1,8,0,8,17.0,2023,248
Robert Woods,HOU,4,4,58,0,18,17.0,2023,248
Brevin Jordan,HOU,2,2,19,1,12,17.0,2023,248
Dalton Schultz,HOU,4,2,19,0,12,17.0,2023,248
Xavier Hutchinson,HOU,3,2,8,0,8,17.0,2023,248
Noah Brown,HOU,2,1,8,0,8,17.0,2023,248
Eric Saubert,HOU,1,1,2,0,2,17.0,2023,248
Dare Ogunbowale,HOU,0,0,0,0,0,17.0,2023,248
