Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Bijan Robinson,ATL,15,75,0,4,47,3.1,28,1.9,1,15.0,17.0,2023,243
Tyler Allgeier,ATL,5,13,0,1,2,0.4,11,2.2,2,2.5,17.0,2023,243
Taylor Heinicke,ATL,4,46,1,3,43,10.8,3,0.8,0,,17.0,2023,243
Khalil Herbert,CHI,18,124,1,4,83,4.6,41,2.3,2,9.0,17.0,2023,243
Justin Fields,CHI,11,45,1,4,22,2.0,23,2.1,2,5.5,17.0,2023,243
Roschon Johnson,CHI,7,21,1,1,7,1.0,14,2.0,0,,17.0,2023,243
Velus Jones Jr.,CHI,1,2,0,1,1,1.0,1,1.0,0,,17.0,2023,243
