Unnamed: 0,TEN,HOU,week,year,game_id
First Downs,11,20,17.0,2023,248
Rush-Yds-TDs,21-53-0,28-111-0,17.0,2023,248
Cmp-Att-Yd-TD-INT,18-26-184-0-0,24-32-213-1-0,17.0,2023,248
Sacked-Yards,6-50,1-12,17.0,2023,248
Net Pass Yards,134,201,17.0,2023,248
Total Yards,187,312,17.0,2023,248
Fumbles-Lost,1-1,1-0,17.0,2023,248
Turnovers,1,0,17.0,2023,248
Penalties-Yards,3-15,1-6,17.0,2023,248
Third Down Conv.,1-12,3-11,17.0,2023,248
Fourth Down Conv.,2-4,0-0,17.0,2023,248
Time of Possession,26:49,33:11,17.0,2023,248
