Unnamed: 0,SFO,WAS,week,year,game_id
First Downs,28,12,17.0,2023,252
Rush-Yds-TDs,39-184-1,14-62-0,17.0,2023,252
Cmp-Att-Yd-TD-INT,22-28-230-2-0,17-28-169-1-2,17.0,2023,252
Sacked-Yards,1-6,1-6,17.0,2023,252
Net Pass Yards,224,163,17.0,2023,252
Total Yards,408,225,17.0,2023,252
Fumbles-Lost,1-0,0-0,17.0,2023,252
Turnovers,0,2,17.0,2023,252
Penalties-Yards,3-20,5-40,17.0,2023,252
Third Down Conv.,4-9,3-9,17.0,2023,252
Fourth Down Conv.,0-1,0-1,17.0,2023,252
Time of Possession,38:13,21:47,17.0,2023,252
