Player,Pos,Off. Num,Off. Pct,Def. Num,Def. Pct,ST Num,ST Pct,home_team,team,week,year,game_id
Joe Tippmann,C,73,100%,0,0%,5,17%,0,Jets,17.0,2023,241
Laken Tomlinson,G,73,100%,0,0%,5,17%,0,Jets,17.0,2023,241
Mekhi Becton,T,73,100%,0,0%,1,3%,0,Jets,17.0,2023,241
Carter Warren,T,73,100%,0,0%,1,3%,0,Jets,17.0,2023,241
Trevor Siemian,QB,73,100%,0,0%,0,0%,0,Jets,17.0,2023,241
Garrett Wilson,WR,72,99%,0,0%,0,0%,0,Jets,17.0,2023,241
Jason Brownlee,WR,71,97%,0,0%,0,0%,0,Jets,17.0,2023,241
Tyler Conklin,TE,58,79%,0,0%,5,17%,0,Jets,17.0,2023,241
Breece Hall,RB,52,71%,0,0%,0,0%,0,Jets,17.0,2023,241
Xavier Gipson,WR,51,70%,0,0%,8,27%,0,Jets,17.0,2023,241
Xavier Newman-Johnson,G,45,62%,0,0%,5,17%,0,Jets,17.0,2023,241
Jake Hanson,C,27,37%,0,0%,3,10%,0,Jets,17.0,2023,241
Kenny Yeboah,TE,25,34%,0,0%,20,67%,0,Jets,17.0,2023,241
Israel Abanikanda,RB,19,26%,0,0%,2,7%,0,Jets,17.0,2023,241
Nick Bawden,FB,8,11%,0,0%,19,63%,0,Jets,17.0,2023,241
Irvin Charles,WR,6,8%,0,0%,19,63%,0,Jets,17.0,2023,241
Randall Cobb,WR,3,4%,0,0%,0,0%,0,Jets,17.0,2023,241
Billy Turner,T,1,1%,0,0%,5,17%,0,Jets,17.0,2023,241
Tony Adams,FS,0,0%,60,100%,7,23%,0,Jets,17.0,2023,241
C.J. Mosley,LB,0,0%,60,100%,6,20%,0,Jets,17.0,2023,241
Jordan Whitehead,SS,0,0%,60,100%,0,0%,0,Jets,17.0,2023,241
D.J. Reed,CB,0,0%,60,100%,0,0%,0,Jets,17.0,2023,241
Sauce Gardner,CB,0,0%,60,100%,0,0%,0,Jets,17.0,2023,241
Quincy Williams,LB,0,0%,57,95%,0,0%,0,Jets,17.0,2023,241
Quinnen Williams,NT,0,0%,41,68%,6,20%,0,Jets,17.0,2023,241
Jermaine Johnson II,LB,0,0%,41,68%,5,17%,0,Jets,17.0,2023,241
Solomon Thomas,DT,0,0%,34,57%,6,20%,0,Jets,17.0,2023,241
Michael Carter II,CB,0,0%,34,57%,0,0%,0,Jets,17.0,2023,241
John Franklin-Myers,DE,0,0%,34,57%,0,0%,0,Jets,17.0,2023,241
Bryce Huff,DE,0,0%,24,40%,1,3%,0,Jets,17.0,2023,241
Micheal Clemons,DE,0,0%,20,33%,11,37%,0,Jets,17.0,2023,241
Bruce Hector,DT,0,0%,20,33%,0,0%,0,Jets,17.0,2023,241
Jalyn Holmes,DE,0,0%,17,28%,6,20%,0,Jets,17.0,2023,241
Jamien Sherwood,LB,0,0%,16,27%,25,83%,0,Jets,17.0,2023,241
Will McDonald,LB,0,0%,10,17%,11,37%,0,Jets,17.0,2023,241
Ashtyn Davis,SS,0,0%,9,15%,24,80%,0,Jets,17.0,2023,241
Brandin Echols,CB,0,0%,3,5%,13,43%,0,Jets,17.0,2023,241
Justin Hardee,CB,0,0%,0,0%,25,83%,0,Jets,17.0,2023,241
Chazz Surratt,LB,0,0%,0,0%,19,63%,0,Jets,17.0,2023,241
Samuel Eguavoen,LB,0,0%,0,0%,19,63%,0,Jets,17.0,2023,241
Jarrick Bernard-Converse,CB,0,0%,0,0%,14,47%,0,Jets,17.0,2023,241
Thomas Morstead,P,0,0%,0,0%,10,33%,0,Jets,17.0,2023,241
Thomas Hennessy,LS,0,0%,0,0%,10,33%,0,Jets,17.0,2023,241
Greg Zuerlein,K,0,0%,0,0%,9,30%,0,Jets,17.0,2023,241
Max Mitchell,T,0,0%,0,0%,5,17%,0,Jets,17.0,2023,241
