Quarter,Time,Down,ToGo,Location,PIT,SEA,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Seahawks won the coin toss and deferred, Steelers to receive the opening kickoff.",,,17.0,2023,253
1.0,15:00,,,SEA 35,0.0,0.0,"Jason Myers kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,253
1.0,15:00,1.0,10.0,PIT 25,0.0,0.0,Najee Harris left guard for 4 yards (tackle by Devin Bush and Jarran Reed),0.61,0.6,17.0,2023,253
1.0,14:20,2.0,6.0,PIT 29,0.0,0.0,Najee Harris left guard for 1 yard (tackle by Boye Mafe and Leonard Williams),0.6,0.04,17.0,2023,253
1.0,13:43,3.0,5.0,PIT 30,0.0,0.0,Mason Rudolph pass complete short left to Diontae Johnson for 13 yards (tackle by Bobby Wagner),0.04,1.8,17.0,2023,253
1.0,13:01,1.0,10.0,PIT 43,0.0,0.0,Jaylen Warren right tackle for 11 yards (tackle by Devon Witherspoon),1.8,2.52,17.0,2023,253
1.0,12:23,1.0,10.0,SEA 46,0.0,0.0,Mason Rudolph pass complete short left to George Pickens for 5 yards (tackle by Riq Woolen),2.52,2.65,17.0,2023,253
1.0,11:46,2.0,5.0,SEA 41,0.0,0.0,Mason Rudolph pass incomplete short left,2.65,1.95,17.0,2023,253
1.0,11:40,3.0,5.0,SEA 41,0.0,0.0,Mason Rudolph pass incomplete short right intended for George Pickens (defended by Quandre Diggs),1.95,0.53,17.0,2023,253
1.0,11:30,,,,,,Timeout #1 by Pittsburgh Steelers,,,17.0,2023,253
1.0,11:30,4.0,5.0,SEA 41,0.0,0.0,Mason Rudolph pass incomplete deep left intended for George Pickens (defended by Riq Woolen),0.53,-1.66,17.0,2023,253
1.0,11:25,1.0,10.0,SEA 41,0.0,0.0,Geno Smith pass incomplete short left intended for D.K. Metcalf (defended by Cameron Heyward),1.66,1.12,17.0,2023,253
1.0,11:22,2.0,10.0,SEA 41,0.0,0.0,Kenneth Walker left tackle for 1 yard (tackle by Myles Jack),1.12,0.56,17.0,2023,253
