Unnamed: 0,LAC,DEN,week,year,game_id
First Downs,17,16,17.0,2023,255
Rush-Yds-TDs,24-86-0,33-101-0,17.0,2023,255
Cmp-Att-Yd-TD-INT,24-38-220-0-0,20-32-224-1-0,17.0,2023,255
Sacked-Yards,1-5,2-12,17.0,2023,255
Net Pass Yards,215,212,17.0,2023,255
Total Yards,301,313,17.0,2023,255
Fumbles-Lost,2-1,0-0,17.0,2023,255
Turnovers,1,0,17.0,2023,255
Penalties-Yards,3-48,7-49,17.0,2023,255
Third Down Conv.,2-11,7-17,17.0,2023,255
Fourth Down Conv.,1-2,1-1,17.0,2023,255
Time of Possession,26:14,33:46,17.0,2023,255
