Quarter,Time,Down,ToGo,Location,SFO,WAS,Detail,EPB,EPA,week,year,game_id
2.0,12:58,2.0,8.0,SFO 28,10.0,0.0,Sam Howell up the middle for -1 yards (tackle by Nick Bosa),3.3,2.48,17.0,2023,252
2.0,12:15,3.0,9.0,SFO 29,10.0,0.0,Sam Howell pass incomplete short right intended for Logan Thomas,2.48,1.5,17.0,2023,252
2.0,12:10,4.0,9.0,SFO 29,10.0,3.0,Joey Slye 47 yard field goal good,1.5,3.0,17.0,2023,252
2.0,12:05,,,WAS 35,10.0,3.0,"Joey Slye kicks off 62 yards, returned by Jordan Mason for 28 yards (tackle by Jabril Cox)",0.0,1.0,17.0,2023,252
2.0,12:00,1.0,10.0,SFO 31,10.0,3.0,Brock Purdy pass complete short middle to Christian McCaffrey for 12 yards (tackle by Cody Barton and Khaleke Hudson),1.0,1.8,17.0,2023,252
2.0,11:21,1.0,10.0,SFO 43,10.0,3.0,Christian McCaffrey right end for 3 yards (tackle by Kamren Curl),1.8,1.66,17.0,2023,252
2.0,10:42,2.0,7.0,SFO 46,10.0,3.0,Elijah Mitchell right tackle for 2 yards (tackle by K.J. Henry),1.66,1.22,17.0,2023,252
2.0,10:02,3.0,5.0,SFO 48,10.0,3.0,Brock Purdy pass incomplete short left intended for Ronnie Bell (defended by Christian Holmes),1.22,-0.19,17.0,2023,252
2.0,9:58,4.0,5.0,SFO 48,10.0,3.0,"Mitch Wishnowsky punts 36 yards, fair catch by Jamison Crowder at WAS-16",-0.19,0.14,17.0,2023,252
2.0,9:51,1.0,10.0,WAS 16,10.0,3.0,"Sam Howell pass complete short left to Curtis Samuel for no gain (tackle by Dre Greenlaw). Penalty on Javon Hargrave: Defensive Offside, 5 yards (accepted) (no play)",-0.14,0.74,17.0,2023,252
2.0,9:29,1.0,5.0,WAS 21,10.0,3.0,Sam Howell pass complete short middle to Terry McLaurin for 11 yards (tackle by Logan Ryan),0.74,1.07,17.0,2023,252
2.0,8:49,1.0,10.0,WAS 32,10.0,3.0,Sam Howell pass complete short left to Curtis Samuel for 1 yard (tackle by Fred Warner),1.07,0.66,17.0,2023,252
2.0,8:10,2.0,9.0,WAS 33,10.0,3.0,Sam Howell pass complete short left to Brian Robinson for 7 yards (tackle by Deommodore Lenoir),0.66,0.89,17.0,2023,252
2.0,7:27,3.0,2.0,WAS 40,10.0,3.0,Sam Howell pass complete deep right to Terry McLaurin for 42 yards (tackle by Deommodore Lenoir),0.89,4.37,17.0,2023,252
2.0,6:42,1.0,10.0,SFO 18,10.0,3.0,Brian Robinson left tackle for 4 yards (tackle by Fred Warner and Clelin Ferrell),4.37,4.43,17.0,2023,252
2.0,6:03,2.0,6.0,SFO 14,10.0,3.0,Brian Robinson left tackle for 8 yards (tackle by Javon Kinlaw and Logan Ryan),4.43,5.83,17.0,2023,252
2.0,5:18,1.0,6.0,SFO 6,10.0,3.0,Brian Robinson up the middle for 3 yards (tackle by Logan Ryan),5.83,5.53,17.0,2023,252
2.0,4:40,2.0,3.0,SFO 3,10.0,3.0,Sam Howell pass incomplete short right intended for Jahan Dotson,5.53,4.72,17.0,2023,252
2.0,4:37,3.0,3.0,SFO 3,10.0,9.0,"Sam Howell pass complete short left to Terry McLaurin for 3 yards, touchdown",4.72,7.0,17.0,2023,252
2.0,4:33,,,SFO 15,10.0,10.0,Joey Slye kicks extra point good,0.0,0.0,17.0,2023,252
2.0,4:33,,,WAS 35,10.0,10.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,252
2.0,4:33,1.0,10.0,SFO 25,10.0,10.0,Brock Purdy pass complete short right to George Kittle for 18 yards (tackle by Emmanuel Forbes),0.61,1.8,17.0,2023,252
2.0,4:00,1.0,10.0,SFO 43,10.0,10.0,Brock Purdy pass complete deep middle to Brandon Aiyuk for 22 yards (tackle by Kamren Curl and Christian Holmes),1.8,3.25,17.0,2023,252
2.0,3:18,1.0,10.0,WAS 35,10.0,10.0,Deebo Samuel left end for 8 yards (tackle by Khaleke Hudson),3.25,3.78,17.0,2023,252
2.0,2:35,2.0,2.0,WAS 27,10.0,10.0,Christian McCaffrey left tackle for 13 yards (tackle by Kamren Curl),3.78,4.65,17.0,2023,252
2.0,2:00,1.0,10.0,WAS 14,10.0,10.0,Brock Purdy pass complete short left to Deebo Samuel for 7 yards (tackle by Kamren Curl),4.65,5.28,17.0,2023,252
2.0,1:22,2.0,3.0,WAS 7,10.0,10.0,Christian McCaffrey right end for 6 yards (tackle by Kamren Curl),5.28,6.97,17.0,2023,252
2.0,0:41,1.0,1.0,WAS 1,10.0,10.0,Christian McCaffrey right end for -3 yards (tackle by Daron Payne),6.97,5.34,17.0,2023,252
2.0,0:35,,,,,,Timeout #1 by Washington Commanders,,,17.0,2023,252
2.0,0:35,2.0,4.0,WAS 4,10.0,10.0,Brock Purdy pass incomplete short right intended for Christian McCaffrey,5.34,4.49,17.0,2023,252
2.0,0:27,3.0,4.0,WAS 4,10.0,10.0,Brock Purdy pass incomplete short right intended for Brandon Aiyuk,4.49,3.03,17.0,2023,252
2.0,0:22,4.0,4.0,WAS 4,13.0,10.0,Jake Moody 22 yard field goal good,3.03,3.0,17.0,2023,252
2.0,0:19,,,SFO 35,13.0,10.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,252
2.0,0:19,1.0,10.0,WAS 25,13.0,10.0,Antonio Gibson up the middle for -1 yards (tackle by Nick Bosa and Oren Burks),0.61,-0.07,17.0,2023,252
3.0,15:00,,,SFO 35,13.0,10.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,252
3.0,15:00,1.0,10.0,WAS 25,13.0,10.0,Brian Robinson right guard for 1 yard (tackle by Fred Warner and Javon Hargrave),0.61,0.2,17.0,2023,252
3.0,14:21,2.0,9.0,WAS 26,13.0,10.0,Sam Howell pass complete short middle to Logan Thomas for 8 yards (tackle by Logan Ryan and Fred Warner),0.2,0.56,17.0,2023,252
3.0,13:41,3.0,1.0,WAS 34,13.0,10.0,Sam Howell sacked by Clelin Ferrell for -6 yards,0.56,-1.5,17.0,2023,252
3.0,13:09,4.0,7.0,WAS 28,13.0,10.0,Tress Way punts 55 yards downed by Dyami Brown,-1.5,0.06,17.0,2023,252
3.0,12:59,1.0,10.0,SFO 17,13.0,10.0,Brock Purdy pass incomplete short middle intended for George Kittle (defended by Emmanuel Forbes),-0.06,-0.58,17.0,2023,252
3.0,12:53,2.0,10.0,SFO 17,13.0,10.0,Brock Purdy pass complete short middle to Christian McCaffrey for 10 yards (tackle by David Mayo and Khaleke Hudson),-0.58,0.74,17.0,2023,252
3.0,12:11,1.0,10.0,SFO 27,13.0,10.0,Elijah Mitchell right end for 7 yards (tackle by Quan Martin and James Smith-Williams),0.74,1.14,17.0,2023,252
3.0,11:33,2.0,3.0,SFO 34,13.0,10.0,Elijah Mitchell left guard for 11 yards (tackle by Khaleke Hudson and Quan Martin),1.14,1.93,17.0,2023,252
3.0,10:52,1.0,10.0,SFO 45,13.0,10.0,Elijah Mitchell left end for 6 yards (tackle by David Mayo),1.93,2.19,17.0,2023,252
3.0,10:11,2.0,4.0,WAS 49,13.0,10.0,Brock Purdy pass complete short left to Brandon Aiyuk for 9 yards (tackle by Emmanuel Forbes and Cody Barton),2.19,2.92,17.0,2023,252
3.0,9:34,1.0,10.0,WAS 40,13.0,10.0,Elijah Mitchell left tackle for 7 yards (tackle by David Mayo),2.92,3.32,17.0,2023,252
3.0,8:51,2.0,3.0,WAS 33,13.0,10.0,"Christian McCaffrey right end for no gain (tackle by Cody Barton). Penalty on Cody Barton: Face Mask (15 Yards), 15 yards (accepted) (no play)",3.32,4.37,17.0,2023,252
3.0,8:28,1.0,10.0,WAS 18,13.0,10.0,Christian McCaffrey right end for 3 yards (tackle by Cody Barton),4.37,4.25,17.0,2023,252
3.0,7:49,2.0,7.0,WAS 15,13.0,10.0,Brock Purdy pass complete short left to Deebo Samuel for 6 yards (tackle by Christian Holmes and Casey Toohill),4.25,4.74,17.0,2023,252
3.0,7:08,3.0,1.0,WAS 9,13.0,10.0,Elijah Mitchell right tackle for 4 yards (tackle by Casey Toohill and Terrell Burgess),4.74,6.06,17.0,2023,252
3.0,6:28,1.0,5.0,WAS 5,13.0,10.0,Elijah Mitchell left tackle for 3 yards (tackle by Cody Barton and Jonathan Allen),6.06,5.72,17.0,2023,252
3.0,5:46,2.0,2.0,WAS 2,19.0,10.0,"Elijah Mitchell right guard for 2 yards, touchdown",5.72,7.0,17.0,2023,252
3.0,5:44,,,WAS 15,20.0,10.0,Jake Moody kicks extra point good,0.0,0.0,17.0,2023,252
3.0,5:44,,,SFO 35,20.0,10.0,"Jake Moody kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,252
3.0,5:44,1.0,10.0,WAS 25,20.0,10.0,Sam Howell pass complete short right to Logan Thomas for 6 yards (tackle by Dre Greenlaw),0.61,0.87,17.0,2023,252
3.0,5:13,2.0,4.0,WAS 31,20.0,10.0,Brian Robinson up the middle for 5 yards (tackle by Fred Warner and Deommodore Lenoir),0.87,1.33,17.0,2023,252
3.0,4:30,1.0,10.0,WAS 36,20.0,10.0,Sam Howell pass incomplete short left intended for Antonio Gibson,1.33,0.79,17.0,2023,252
3.0,4:26,2.0,10.0,WAS 36,20.0,10.0,"Sam Howell pass complete short right to Terry McLaurin for no gain (tackle by Charvarius Ward and Deommodore Lenoir). Penalty on Trenton Scott: Illegal Use of Hands / Offense, 10 yards (accepted) (no play)",0.79,-0.56,17.0,2023,252
3.0,4:02,2.0,20.0,WAS 26,20.0,10.0,Sam Howell pass complete deep left to Curtis Samuel for 25 yards (tackle by Dre Greenlaw),-0.56,2.32,17.0,2023,252
3.0,3:15,1.0,10.0,SFO 49,20.0,10.0,Sam Howell pass complete short right to Antonio Gibson for 15 yards (tackle by Tashaun Gipson),2.32,3.31,17.0,2023,252
3.0,2:30,1.0,10.0,SFO 34,20.0,10.0,Antonio Gibson right end for 16 yards (tackle by Charvarius Ward),3.31,4.37,17.0,2023,252
3.0,1:47,1.0,10.0,SFO 18,20.0,10.0,Brian Robinson right tackle for 5 yards (tackle by Nick Bosa and Dre Greenlaw),4.37,4.61,17.0,2023,252
3.0,1:05,2.0,5.0,SFO 13,20.0,10.0,"Penalty on Trenton Scott: False Start, 5 yards (accepted) (no play)",4.61,3.8,17.0,2023,252
3.0,0:44,2.0,10.0,SFO 18,20.0,10.0,"Sam Howell pass incomplete deep middle. Penalty on Logan Ryan: Illegal Contact, 5 yards (accepted) (no play)",3.8,4.71,17.0,2023,252
3.0,0:38,1.0,10.0,SFO 13,20.0,10.0,Antonio Gibson left tackle for 2 yards (tackle by Chase Young and Dre Greenlaw),4.71,4.39,17.0,2023,252
4.0,15:00,2.0,8.0,SFO 11,20.0,10.0,Sam Howell pass incomplete short right intended for Antonio Gibson,4.39,3.45,17.0,2023,252
4.0,14:57,3.0,8.0,SFO 11,20.0,10.0,Sam Howell pass short right intended for Terry McLaurin is intercepted by Charvarius Ward at SF-2 and returned for 3 yards (tackle by Terry McLaurin),3.45,0.38,17.0,2023,252
4.0,14:53,1.0,10.0,SFO 5,20.0,10.0,Elijah Mitchell right guard for 15 yards (tackle by Terrell Burgess and Khaleke Hudson),-0.38,0.28,17.0,2023,252
4.0,14:12,1.0,10.0,SFO 20,20.0,10.0,Elijah Mitchell right guard for 6 yards (tackle by K.J. Henry and Cody Barton),0.28,0.54,17.0,2023,252
4.0,13:34,2.0,4.0,SFO 26,20.0,10.0,Brock Purdy pass complete short left to Kyle Juszczyk for 7 yards (tackle by David Mayo and Khaleke Hudson),0.54,1.14,17.0,2023,252
4.0,12:53,1.0,10.0,SFO 33,20.0,10.0,Elijah Mitchell left guard for 2 yards (tackle by Jonathan Allen and Kamren Curl),1.14,0.86,17.0,2023,252
4.0,12:11,2.0,8.0,SFO 35,20.0,10.0,Brock Purdy pass complete short middle to Kyle Juszczyk for 9 yards (tackle by David Mayo),0.86,1.86,17.0,2023,252
4.0,11:25,1.0,10.0,SFO 44,20.0,10.0,Brock Purdy pass complete deep right to Brandon Aiyuk for 38 yards (tackle by Emmanuel Forbes),1.86,4.37,17.0,2023,252
4.0,10:32,,,,,,Timeout #1 by San Francisco 49ers,,,17.0,2023,252
4.0,10:32,1.0,10.0,WAS 18,20.0,10.0,"Brock Purdy pass complete short middle to Deebo Samuel for 6 yards (tackle by Christian Holmes). Penalty on Ronnie Bell: Offensive Holding, 10 yards (accepted)",4.37,4.11,17.0,2023,252
4.0,10:09,1.0,14.0,WAS 22,20.0,10.0,Elijah Mitchell left guard for 5 yards (tackle by James Smith-Williams),4.11,3.94,17.0,2023,252
4.0,9:33,2.0,9.0,WAS 17,20.0,10.0,Brock Purdy pass incomplete short left intended for Deebo Samuel,3.94,3.17,17.0,2023,252
4.0,9:30,3.0,9.0,WAS 17,26.0,10.0,"Brock Purdy pass complete deep middle to Brandon Aiyuk for 17 yards, touchdown",3.17,7.0,17.0,2023,252
4.0,9:20,,,WAS 15,27.0,10.0,Jake Moody kicks extra point good,0.0,0.0,17.0,2023,252
