Unnamed: 0,CIN,KAN,week,year,game_id
First Downs,20,15,17.0,2023,254
Rush-Yds-TDs,32-104-1,22-132-0,17.0,2023,254
Cmp-Att-Yd-TD-INT,19-33-197-1-0,21-29-245-1-0,17.0,2023,254
Sacked-Yards,6-38,2-4,17.0,2023,254
Net Pass Yards,159,241,17.0,2023,254
Total Yards,263,373,17.0,2023,254
Fumbles-Lost,0-0,1-1,17.0,2023,254
Turnovers,0,1,17.0,2023,254
Penalties-Yards,3-20,3-39,17.0,2023,254
Third Down Conv.,8-16,3-12,17.0,2023,254
Fourth Down Conv.,1-3,1-1,17.0,2023,254
Time of Possession,34:17,25:43,17.0,2023,254
