Unnamed: 0,NWE,BUF,week,year,game_id
First Downs,16,19,17.0,2023,244
Rush-Yds-TDs,24-103-2,37-127-2,17.0,2023,244
Cmp-Att-Yd-TD-INT,16-26-209-0-3,15-30-169-0-1,17.0,2023,244
Sacked-Yards,3-18,1-15,17.0,2023,244
Net Pass Yards,191,154,17.0,2023,244
Total Yards,294,281,17.0,2023,244
Fumbles-Lost,1-1,2-0,17.0,2023,244
Turnovers,4,1,17.0,2023,244
Penalties-Yards,2-20,4-32,17.0,2023,244
Third Down Conv.,4-10,7-15,17.0,2023,244
Fourth Down Conv.,0-0,0-0,17.0,2023,244
Time of Possession,27:08,32:52,17.0,2023,244
