Quarter,Time,Down,ToGo,Location,NOR,TAM,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Buccaneers won the coin toss and deferred, Saints to receive the opening kickoff.",,,17.0,2023,250
1.0,15:00,,,TAM 35,0.0,0.0,"Jake Camarda kicks off 52 yards, returned by Rashid Shaheed for 14 yards (tackle by SirVocea Dennis and K.J. Britt)",0.0,0.74,17.0,2023,250
1.0,14:56,1.0,10.0,NOR 27,0.0,0.0,Derek Carr pass complete short right to Juwan Johnson for 4 yards (tackle by Zyon McCollum),0.74,0.74,17.0,2023,250
1.0,14:19,2.0,6.0,NOR 31,0.0,0.0,Taysom Hill pass complete short right to Juwan Johnson for 11 yards (tackle by Kaevon Merriweather),0.74,1.73,17.0,2023,250
1.0,13:44,1.0,10.0,NOR 42,0.0,0.0,Derek Carr pass incomplete short left intended for Chris Olave,1.73,1.19,17.0,2023,250
1.0,13:40,2.0,10.0,NOR 42,0.0,0.0,Alvin Kamara right guard for 13 yards (tackle by Antoine Winfield and Christian Izien),1.19,2.59,17.0,2023,250
1.0,13:04,1.0,10.0,TAM 45,0.0,0.0,Jamaal Williams right guard for -2 yards (tackle by Devin White),2.59,1.77,17.0,2023,250
1.0,12:27,2.0,12.0,TAM 47,0.0,0.0,Derek Carr pass complete short left to Rashid Shaheed for 5 yards (tackle by Christian Izien),1.77,1.69,17.0,2023,250
1.0,11:42,3.0,8.0,TAM 42,0.0,0.0,Derek Carr pass complete short right to Chris Olave for 11 yards (tackle by Zyon McCollum),1.69,3.51,17.0,2023,250
1.0,11:04,1.0,10.0,TAM 31,0.0,0.0,Jamaal Williams right guard for 4 yards (tackle by Zyon McCollum),3.51,3.51,17.0,2023,250
1.0,10:24,2.0,6.0,TAM 27,0.0,0.0,Jamaal Williams up the middle for 7 yards (tackle by Lavonte David and Devin White),3.51,4.24,17.0,2023,250
1.0,9:44,1.0,10.0,TAM 20,0.0,0.0,Derek Carr pass complete short right to Taysom Hill for 8 yards (tackle by Kaevon Merriweather),4.24,5.04,17.0,2023,250
1.0,9:05,2.0,2.0,TAM 12,0.0,0.0,Alvin Kamara left tackle for 3 yards (tackle by Pat O'Connor and Anthony Nelson),5.04,5.14,17.0,2023,250
1.0,8:30,1.0,9.0,TAM 9,0.0,0.0,Alvin Kamara left guard for 6 yards (tackle by Greg Gaines and Antoine Winfield),5.14,5.53,17.0,2023,250
1.0,7:48,2.0,3.0,TAM 3,0.0,0.0,Alvin Kamara up the middle for -1 yards (tackle by Pat O'Connor and Cam Gill),5.53,4.49,17.0,2023,250
1.0,7:08,3.0,4.0,TAM 4,6.0,0.0,"Derek Carr pass complete short left to Juwan Johnson for 4 yards, touchdown",4.49,7.0,17.0,2023,250
1.0,7:04,,,TAM 15,7.0,0.0,Blake Grupe kicks extra point good,0.0,0.0,17.0,2023,250
1.0,7:04,,,NOR 35,7.0,0.0,"Blake Grupe kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,250
1.0,7:04,1.0,10.0,TAM 25,7.0,0.0,Rachaad White right guard for 5 yards (tackle by Demario Davis),0.61,0.74,17.0,2023,250
1.0,6:29,2.0,5.0,TAM 30,7.0,0.0,Baker Mayfield pass complete short middle to Cade Otton for 4 yards (tackle by Pete Werner),0.74,0.56,17.0,2023,250
1.0,5:42,3.0,1.0,TAM 34,7.0,0.0,Rachaad White left guard for -1 yards (tackle by Pete Werner),0.56,-1.18,17.0,2023,250
1.0,5:00,4.0,2.0,TAM 33,7.0,0.0,"Jake Camarda punts 51 yards, returned by Rashid Shaheed for 16 yards (tackle by K.J. Britt and David Moore)",-1.18,-1.07,17.0,2023,250
1.0,4:47,1.0,10.0,NOR 32,7.0,0.0,Alvin Kamara up the middle for 3 yards (tackle by Vita Vea),1.07,0.93,17.0,2023,250
1.0,4:13,2.0,7.0,NOR 35,7.0,0.0,Derek Carr pass complete short left to Alvin Kamara for 5 yards (tackle by Lavonte David),0.93,0.89,17.0,2023,250
1.0,3:32,3.0,2.0,NOR 40,7.0,0.0,Derek Carr pass complete short right to Chris Olave for 1 yard (tackle by Lavonte David),0.89,-0.65,17.0,2023,250
1.0,2:49,4.0,1.0,NOR 41,7.0,0.0,Lou Hedley punts 48 yards out of bounds,-0.65,0.37,17.0,2023,250
1.0,2:41,1.0,10.0,TAM 11,7.0,0.0,Baker Mayfield pass incomplete short left intended for Cade Otton (defended by Isaac Yiadom),-0.37,-0.78,17.0,2023,250
1.0,2:37,2.0,10.0,TAM 11,7.0,0.0,Rachaad White right tackle for 1 yard (tackle by Johnathan Abram),-0.78,-1.3,17.0,2023,250
1.0,1:52,3.0,9.0,TAM 12,7.0,0.0,"Baker Mayfield sacked by Bryan Bresee for no gain. Penalty on Bryan Bresee: Face Mask (15 Yards), 15 yards (accepted) (no play)",-1.3,0.74,17.0,2023,250
