Unnamed: 0,ARI,PHI,week,year,game_id
First Downs,32,17,17.0,2023,247
Rush-Yds-TDs,40-221-1,23-91-0,17.0,2023,247
Cmp-Att-Yd-TD-INT,25-31-232-3-1,19-24-184-3-1,17.0,2023,247
Sacked-Yards,1-4,0-0,17.0,2023,247
Net Pass Yards,228,184,17.0,2023,247
Total Yards,449,275,17.0,2023,247
Fumbles-Lost,1-0,0-0,17.0,2023,247
Turnovers,1,1,17.0,2023,247
Penalties-Yards,5-25,4-49,17.0,2023,247
Third Down Conv.,5-10,4-9,17.0,2023,247
Fourth Down Conv.,2-2,1-1,17.0,2023,247
Time of Possession,39:39,20:21,17.0,2023,247
