Quarter,Time,Down,ToGo,Location,LAR,NYG,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Giants won the coin toss and deferred, Rams to receive the opening kickoff.",,,17.0,2023,251
1.0,15:00,,,NYG 35,0.0,0.0,"Mason Crosby kicks off 57 yards,",0.0,0.61,17.0,2023,251
1.0,15:00,1.0,10.0,LAR 25,0.0,0.0,Matthew Stafford pass complete short right to Tyler Higbee for 14 yards (tackle by Adoree' Jackson),0.61,1.53,17.0,2023,251
1.0,14:23,1.0,10.0,LAR 39,0.0,0.0,Matthew Stafford pass complete short right to Demarcus Robinson for 7 yards (tackle by Nick McCloud and Isaiah Simmons),1.53,1.93,17.0,2023,251
1.0,13:39,2.0,3.0,LAR 46,0.0,0.0,Matthew Stafford pass complete short right to Puka Nacua for 4 yards (tackle by Adoree' Jackson),1.93,2.26,17.0,2023,251
1.0,12:55,1.0,10.0,LAR 50,0.0,0.0,Matthew Stafford pass complete short middle to Puka Nacua for 6 yards (tackle by Isaiah Simmons),2.26,2.52,17.0,2023,251
1.0,12:18,2.0,4.0,NYG 44,0.0,0.0,Kyren Williams right guard for 4 yards (tackle by Jordon Riley and Bobby Okereke),2.52,2.92,17.0,2023,251
1.0,11:36,1.0,10.0,NYG 40,0.0,0.0,Kyren Williams left guard for 4 yards (tackle by Jordon Riley and A'Shawn Robinson),2.92,2.91,17.0,2023,251
1.0,11:00,2.0,6.0,NYG 36,0.0,0.0,Matthew Stafford pass complete short left to Cooper Kupp for 8 yards (tackle by Nick McCloud),2.91,3.71,17.0,2023,251
1.0,10:17,1.0,10.0,NYG 28,0.0,0.0,Kyren Williams right end for -1 yards (tackle by Dexter Lawrence),3.71,3.03,17.0,2023,251
1.0,9:31,2.0,11.0,NYG 29,0.0,0.0,"Matthew Stafford pass complete to Demarcus Robinson for no gain NYG challenged the pass completion ruling, and the original play was overturned. Matthew Stafford pass incomplete short middle intended for Demarcus Robinson",3.03,2.34,17.0,2023,251
1.0,9:27,3.0,11.0,NYG 29,0.0,0.0,Matthew Stafford pass complete short left to Cooper Kupp for 8 yards (tackle by Nick McCloud),2.34,2.16,17.0,2023,251
1.0,8:44,4.0,3.0,NYG 21,0.0,0.0,"Matthew Stafford pass complete to Puka Nacua for 4 yards NYG challenged the pass completion ruling, and the original play was overturned. Matthew Stafford pass incomplete short right intended for Puka Nacua",2.16,-0.34,17.0,2023,251
1.0,8:40,1.0,10.0,NYG 21,0.0,0.0,Tyrod Taylor pass complete short middle to Darren Waller for 5 yards (tackle by Ernest Jones and Michael Hoecht),0.34,0.48,17.0,2023,251
1.0,8:11,2.0,5.0,NYG 26,0.0,0.0,Saquon Barkley right tackle for -1 yards (tackle by Byron Young),0.48,-0.36,17.0,2023,251
1.0,7:46,3.0,6.0,NYG 25,0.0,0.0,Tyrod Taylor pass incomplete deep right intended for Jalin Hyatt (defended by Ahkello Witherspoon),-0.36,-1.7,17.0,2023,251
1.0,7:41,4.0,6.0,NYG 25,0.0,0.0,"Jamie Gillan punts 47 yards, fair catch by Austin Trammell at LA-28",-1.7,-0.81,17.0,2023,251
1.0,7:34,1.0,10.0,LAR 28,0.0,0.0,Matthew Stafford pass complete short right to Kyren Williams for 5 yards (tackle by Bobby Okereke and Cordale Flott),0.81,0.94,17.0,2023,251
1.0,6:52,2.0,5.0,LAR 33,0.0,0.0,"Matthew Stafford pass complete short left to Demarcus Robinson for 9 yards. Demarcus Robinson fumbles, ball out of bounds at LA-42 (forced by Nick McCloud)",0.94,1.73,17.0,2023,251
1.0,6:19,1.0,10.0,LAR 42,0.0,0.0,Kyren Williams left guard for 4 yards (tackle by Micah McFadden and Jordon Riley),1.73,1.73,17.0,2023,251
1.0,5:56,2.0,6.0,LAR 46,0.0,0.0,Matthew Stafford pass complete short left to Tyler Higbee for 14 yards (tackle by Nick McCloud and Jason Pinnock),1.73,2.92,17.0,2023,251
1.0,5:10,1.0,10.0,NYG 40,0.0,0.0,Kyren Williams right guard for 10 yards (tackle by Adoree' Jackson and Jason Pinnock),2.92,3.58,17.0,2023,251
1.0,4:36,1.0,10.0,NYG 30,0.0,0.0,Kyren Williams right end for 8 yards (tackle by Micah McFadden),3.58,4.11,17.0,2023,251
