Quarter,Time,Tm,Detail,CAR,JAX,week,year,game_id
1.0,8:36,Jaguars,Brandon McManus 35 yard field goal,0,3,17.0,2023,245
2.0,7:18,Jaguars,Brandon McManus 26 yard field goal,0,6,17.0,2023,245
,2:45,Jaguars,Brandon McManus 24 yard field goal,0,9,17.0,2023,245
3.0,11:56,Jaguars,Travis Etienne 62 yard rush (Brandon McManus kick),0,16,17.0,2023,245
,3:00,Jaguars,Brandon McManus 34 yard field goal,0,19,17.0,2023,245
4.0,4:16,Jaguars,Travis Etienne 1 yard rush (Brandon McManus kick),0,26,17.0,2023,245
