Quarter,Time,Down,ToGo,Location,NWE,BUF,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bills won the coin toss and deferred, Patriots to receive the opening kickoff.",,,17.0,2023,244
1.0,15:00,,,BUF 35,6.0,0.0,"Tyler Bass kicks off 63 yards, returned by Jalen Reagor for 98 yards, touchdown",0.0,7.0,17.0,2023,244
1.0,14:48,,,BUF 15,7.0,0.0,Chad Ryland kicks extra point good,0.0,0.0,17.0,2023,244
1.0,14:48,,,NWE 35,7.0,0.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,244
1.0,14:48,1.0,10.0,BUF 25,7.0,0.0,"Josh Allen sacked by Deatrich Wise for -15 yards. Josh Allen fumbles (forced by Deatrich Wise), recovered by Connor McGovern at BUF-10 (tackle by Deatrich Wise)",0.61,-1.88,17.0,2023,244
1.0,14:02,2.0,25.0,BUF 10,7.0,0.0,Josh Allen scrambles right tackle for 19 yards (tackle by Myles Bryant),-1.88,-0.1,17.0,2023,244
1.0,13:23,3.0,6.0,BUF 29,7.0,0.0,Josh Allen pass incomplete deep right intended for Dalton Kincaid,-0.1,-1.44,17.0,2023,244
1.0,13:14,4.0,6.0,BUF 29,7.0,0.0,"Sam Martin punts 53 yards, fair catch by Myles Bryant at NE-18",-1.44,-0.04,17.0,2023,244
1.0,13:06,1.0,10.0,NWE 18,7.0,0.0,"Bailey Zappe pass short left (defended by Rasul Douglas) intended for Mike Gesicki is intercepted by Ed Oliver at NE-21 and returned for no gain Replay Assistant challenged the pass interception ruling, and the play was upheld.",0.04,-4.17,17.0,2023,244
1.0,13:00,1.0,10.0,NWE 21,7.0,0.0,James Cook left guard for 4 yards (tackle by Christian Barmore),4.17,4.2,17.0,2023,244
1.0,12:20,2.0,6.0,NWE 17,7.0,0.0,Josh Allen pass incomplete deep left intended for Stefon Diggs,4.2,3.46,17.0,2023,244
1.0,12:14,3.0,6.0,NWE 17,7.0,0.0,Josh Allen pass incomplete short right intended for James Cook,3.46,2.34,17.0,2023,244
