Quarter,Time,Down,ToGo,Location,ATL,CHI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,,17.0,2023,243
1.0,15:00,,,CHI 35,0.0,0.0,"Trenton Gill kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,243
1.0,15:00,1.0,10.0,ATL 25,0.0,0.0,Taylor Heinicke pass complete deep left to Drake London for 22 yards (tackle by Tyrique Stevenson),0.61,2.06,17.0,2023,243
1.0,14:27,1.0,10.0,ATL 47,0.0,0.0,Bijan Robinson right end for 21 yards (tackle by Eddie Jackson),2.06,3.45,17.0,2023,243
1.0,13:49,1.0,10.0,CHI 32,0.0,0.0,Taylor Heinicke pass incomplete deep left intended for Kyle Pitts,3.45,2.9,17.0,2023,243
1.0,13:42,2.0,10.0,CHI 32,0.0,0.0,"Bijan Robinson aborted snap, recovered by Desmond Ridder at CHI-39",2.9,1.29,17.0,2023,243
1.0,13:06,3.0,17.0,CHI 39,0.0,0.0,Taylor Heinicke pass complete short middle to Drake London for 8 yards (tackle by Jaylon Johnson and Kyler Gordon),1.29,1.32,17.0,2023,243
1.0,12:24,4.0,9.0,CHI 31,0.0,0.0,Younghoe Koo 50 yard field goal no good,1.32,-1.6,17.0,2023,243
1.0,12:20,1.0,10.0,CHI 40,0.0,0.0,Justin Fields pass complete deep right to D.J. Moore for 32 yards,1.6,3.71,17.0,2023,243
1.0,11:56,1.0,10.0,ATL 28,0.0,0.0,Justin Fields pass incomplete short right intended for D.J. Moore,3.71,3.17,17.0,2023,243
1.0,11:53,2.0,10.0,ATL 28,0.0,0.0,Khalil Herbert right end for 6 yards (tackle by Mike Hughes),3.17,3.27,17.0,2023,243
1.0,11:12,3.0,4.0,ATL 22,0.0,0.0,"Penalty on Braxton Jones: False Start, 5 yards (accepted) (no play)",3.27,2.61,17.0,2023,243
1.0,10:51,3.0,9.0,ATL 27,0.0,0.0,Justin Fields pass complete short right to Roschon Johnson for 24 yards (tackle by Richie Grant),2.61,6.51,17.0,2023,243
1.0,10:11,1.0,3.0,ATL 3,0.0,0.0,Justin Fields left end for -3 yards (tackle by Calais Campbell),6.51,4.95,17.0,2023,243
1.0,9:30,2.0,6.0,ATL 6,0.0,0.0,Justin Fields pass complete short right to Tyler Scott for -1 yards,4.95,3.81,17.0,2023,243
1.0,8:52,3.0,7.0,ATL 7,0.0,6.0,"Justin Fields pass complete short left to D.J. Moore for 7 yards, touchdown",3.81,7.0,17.0,2023,243
1.0,8:47,,,ATL 15,0.0,7.0,Cairo Santos kicks extra point good,0.0,0.0,17.0,2023,243
1.0,8:47,,,CHI 35,0.0,7.0,"Trenton Gill kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,243
1.0,8:47,1.0,10.0,ATL 25,0.0,7.0,Bijan Robinson left end for no gain (tackle by DeMarcus Walker),0.61,0.06,17.0,2023,243
1.0,8:09,2.0,10.0,ATL 25,0.0,7.0,Taylor Heinicke scrambles right end for 5 yards (tackle by Gervon Dexter),0.06,0.04,17.0,2023,243
1.0,7:29,3.0,5.0,ATL 30,0.0,7.0,Taylor Heinicke scrambles right end for 10 yards (tackle by Jaquan Brisker),0.04,1.6,17.0,2023,243
1.0,6:49,1.0,10.0,ATL 40,0.0,7.0,Bijan Robinson right tackle for 5 yards (tackle by Tyrique Stevenson and Tremaine Edmunds),1.6,1.73,17.0,2023,243
1.0,6:33,2.0,5.0,ATL 45,0.0,7.0,Taylor Heinicke scrambles right guard for 7 yards (tackle by Jaquan Brisker),1.73,2.39,17.0,2023,243
1.0,5:38,1.0,10.0,CHI 48,0.0,7.0,Taylor Heinicke pass complete deep middle to Drake London for 20 yards (tackle by Eddie Jackson),2.39,3.71,17.0,2023,243
1.0,4:52,1.0,10.0,CHI 28,0.0,7.0,Tyler Allgeier left guard for 5 yards (tackle by Terell Smith),3.71,3.84,17.0,2023,243
1.0,4:06,2.0,5.0,CHI 23,0.0,7.0,Bijan Robinson right tackle for -1 yards (tackle by T.J. Edwards),3.84,3.01,17.0,2023,243
1.0,3:26,3.0,6.0,CHI 24,0.0,7.0,Taylor Heinicke pass incomplete deep left intended for Van Jefferson,3.01,1.89,17.0,2023,243
1.0,3:22,4.0,6.0,CHI 24,0.0,7.0,Younghoe Koo 42 yard field goal no good,1.89,-1.07,17.0,2023,243
1.0,3:17,1.0,10.0,CHI 32,0.0,7.0,Khalil Herbert right tackle for no gain (tackle by Jessie Bates),1.07,0.53,17.0,2023,243
1.0,2:53,2.0,10.0,CHI 32,0.0,7.0,Justin Fields right end for 3 yards (tackle by Zach Harrison),0.53,0.23,17.0,2023,243
1.0,2:16,3.0,7.0,CHI 35,0.0,7.0,Justin Fields pass complete deep left to D.J. Moore for 32 yards,0.23,3.38,17.0,2023,243
1.0,1:36,1.0,10.0,ATL 33,0.0,7.0,Justin Fields scrambles left end for 9 yards (tackle by Kaden Elliss),3.38,4.05,17.0,2023,243
1.0,0:58,2.0,1.0,ATL 24,0.0,7.0,Velus Jones right tackle for 2 yards (tackle by Nathan Landman and Ta'Quon Graham),4.05,4.11,17.0,2023,243
1.0,0:20,1.0,10.0,ATL 22,0.0,7.0,Khalil Herbert left end for 3 yards (tackle by DeMarcco Hellams),4.11,3.97,17.0,2023,243
2.0,15:00,2.0,7.0,ATL 19,0.0,7.0,Justin Fields pass complete short middle to Robert Tonyan for 10 yards (tackle by Nathan Landman),3.97,5.14,17.0,2023,243
2.0,14:20,1.0,9.0,ATL 9,0.0,13.0,"Justin Fields left guard for 9 yards, touchdown",5.14,7.0,17.0,2023,243
2.0,14:14,,,ATL 15,0.0,14.0,Cairo Santos kicks extra point good,0.0,0.0,17.0,2023,243
2.0,14:14,,,CHI 35,0.0,14.0,"Trenton Gill kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,243
2.0,14:14,1.0,10.0,ATL 25,6.0,14.0,"Taylor Heinicke pass complete short right to Tyler Allgeier for 75 yards, touchdown",0.61,7.0,17.0,2023,243
