#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
2,1,13:06,NWE 18,1,0:06,0,Interception,0,Patriots,17.0,2023,244
3,1,12:07,NWE 22,3,1:47,5,Punt,0,Patriots,17.0,2023,244
4,1,8:41,NWE 16,1,0:07,0,Interception,0,Patriots,17.0,2023,244
5,1,6:37,NWE 25,2,0:46,5,Fumble,0,Patriots,17.0,2023,244
6,1,2:16,NWE 25,3,1:22,-7,Punt,0,Patriots,17.0,2023,244
7,1,0:04,NWE 5,6,2:28,29,Interception,0,Patriots,17.0,2023,244
8,2,12:36,NWE 25,6,2:52,75,Touchdown,0,Patriots,17.0,2023,244
9,2,5:43,NWE 11,9,3:54,60,Missed FG,0,Patriots,17.0,2023,244
10,2,1:05,NWE 8,2,1:05,1,End of Half,0,Patriots,17.0,2023,244
11,3,10:42,NWE 25,11,7:41,36,Punt,0,Patriots,17.0,2023,244
12,4,14:10,NWE 16,7,3:09,84,Touchdown,0,Patriots,17.0,2023,244
13,4,6:41,NWE 3,3,1:39,8,Punt,0,Patriots,17.0,2023,244
