Quarter,Time,Down,ToGo,Location,ARI,PHI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Cardinals won the coin toss and deferred, Eagles to receive the opening kickoff.",,,17.0,2023,247
1.0,15:00,,,ARI 35,0.0,0.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,247
1.0,15:00,1.0,10.0,PHI 25,0.0,0.0,D'Andre Swift left guard for 3 yards (tackle by Zaven Collins and Krys Barnes),0.61,0.47,17.0,2023,247
1.0,14:29,2.0,7.0,PHI 28,0.0,0.0,D'Andre Swift right end for 5 yards (tackle by Roy Lopez),0.47,0.43,17.0,2023,247
1.0,13:47,3.0,2.0,PHI 33,0.0,0.0,Jalen Hurts pass complete short left to Kenneth Gainwell for no gain (tackle by Jalen Thompson and Krys Barnes),0.43,-1.18,17.0,2023,247
1.0,13:07,4.0,2.0,PHI 33,0.0,0.0,"Braden Mann punts 56 yards, returned by Greg Dortch for 15 yards (tackle by Rick Lovato)",-1.18,-0.67,17.0,2023,247
1.0,12:55,1.0,10.0,ARI 26,0.0,0.0,Kyler Murray pass complete short left to Trey McBride for 26 yards (tackle by Shaquille Leonard and Avonte Maddox),0.67,2.39,17.0,2023,247
1.0,12:11,1.0,10.0,PHI 48,0.0,0.0,James Conner left end for 5 yards (tackle by Kelee Ringo),2.39,2.52,17.0,2023,247
1.0,11:31,2.0,5.0,PHI 43,0.0,0.0,James Conner right end for 1 yard (tackle by Shaquille Leonard),2.52,1.95,17.0,2023,247
1.0,10:48,3.0,4.0,PHI 42,0.0,0.0,Kyler Murray pass complete short right to Greg Dortch for 6 yards,1.95,3.18,17.0,2023,247
1.0,10:12,1.0,10.0,PHI 36,0.0,0.0,Kyler Murray pass incomplete short left intended for Trey McBride,3.18,2.64,17.0,2023,247
1.0,10:08,2.0,10.0,PHI 36,0.0,0.0,Kyler Murray pass complete short middle to Trey McBride for 4 yards (tackle by Kevin Byard),2.64,2.48,17.0,2023,247
1.0,9:29,3.0,6.0,PHI 32,0.0,0.0,Kyler Murray pass complete short middle to Elijah Higgins for 7 yards (tackle by Reed Blankenship),2.48,3.91,17.0,2023,247
1.0,8:47,1.0,10.0,PHI 25,0.0,0.0,James Conner left end for 10 yards (tackle by Kelee Ringo),3.91,4.58,17.0,2023,247
1.0,8:09,1.0,10.0,PHI 15,0.0,0.0,James Conner up the middle for 6 yards (tackle by Josh Sweat),4.58,5.03,17.0,2023,247
1.0,7:25,2.0,4.0,PHI 9,0.0,0.0,Kyler Murray scrambles right end for 6 yards (tackle by Brandon Graham),5.03,6.51,17.0,2023,247
1.0,6:41,1.0,3.0,PHI 3,0.0,0.0,"Kyler Murray left end for -9 yards. Kyler Murray fumbles (forced by Milton Williams), recovered by Kyler Murray at PHI-12 (tackle by Milton Williams)",6.51,3.86,17.0,2023,247
1.0,6:00,2.0,12.0,PHI 12,0.0,0.0,James Conner left end for 2 yards (tackle by Josh Sweat and Shaquille Leonard),3.86,3.13,17.0,2023,247
1.0,5:16,3.0,10.0,PHI 10,0.0,0.0,Kyler Murray pass incomplete short left intended for Emari Demercado,3.13,2.76,17.0,2023,247
1.0,5:12,4.0,10.0,PHI 10,3.0,0.0,Matt Prater 28 yard field goal good,2.76,3.0,17.0,2023,247
1.0,5:09,,,ARI 35,3.0,0.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,247
1.0,5:09,1.0,10.0,PHI 25,3.0,0.0,Jalen Hurts pass complete short middle to A.J. Brown for 16 yards (tackle by Krys Barnes),0.61,1.66,17.0,2023,247
1.0,4:43,1.0,10.0,PHI 41,3.0,0.0,Jalen Hurts pass complete short left to DeVonta Smith for 5 yards (tackle by Starling Thomas and Owen Pappoe),1.66,1.8,17.0,2023,247
1.0,4:14,2.0,5.0,PHI 46,3.0,0.0,D'Andre Swift left tackle for 2 yards (tackle by Antonio Hamilton),1.8,1.36,17.0,2023,247
1.0,3:37,3.0,3.0,PHI 48,3.0,0.0,Jalen Hurts pass complete short right to Dallas Goedert for 23 yards (tackle by Starling Thomas),1.36,3.64,17.0,2023,247
1.0,3:04,1.0,10.0,ARI 29,3.0,0.0,D'Andre Swift left guard for 7 yards (tackle by Dennis Gardeck),3.64,4.05,17.0,2023,247
1.0,2:39,2.0,3.0,ARI 22,3.0,0.0,D'Andre Swift left end for -1 yards (tackle by Krys Barnes),4.05,3.2,17.0,2023,247
1.0,1:56,3.0,4.0,ARI 23,3.0,0.0,Kenneth Gainwell left guard for 3 yards (tackle by Roy Lopez and Krys Barnes),3.2,2.27,17.0,2023,247
1.0,1:38,4.0,1.0,ARI 20,3.0,0.0,Jalen Hurts up the middle for no gain (tackle by Roy Lopez) (no play),2.27,4.65,17.0,2023,247
1.0,1:23,1.0,10.0,ARI 14,3.0,0.0,Kenneth Gainwell right tackle for 2 yards (tackle by Kevin Strong),4.65,4.33,17.0,2023,247
1.0,0:42,2.0,8.0,ARI 12,3.0,6.0,"Jalen Hurts pass complete short right to Julio Jones for 12 yards, touchdown",4.33,7.0,17.0,2023,247
1.0,0:36,,,ARI 15,3.0,7.0,Jake Elliott kicks extra point good,0.0,0.0,17.0,2023,247
1.0,0:36,,,PHI 35,3.0,7.0,"Jake Elliott kicks off 56 yards, returned by Greg Dortch for 24 yards (tackle by Ben VanSumeren and Patrick Johnson)",0.0,1.14,17.0,2023,247
1.0,0:28,1.0,10.0,ARI 33,3.0,7.0,Kyler Murray pass incomplete short right intended for Rondale Moore,1.14,0.59,17.0,2023,247
1.0,0:24,2.0,10.0,ARI 33,3.0,7.0,Rondale Moore right end for 2 yards (tackle by Nolan Smith and Nicholas Morrow),0.59,0.17,17.0,2023,247
2.0,15:00,3.0,8.0,ARI 35,3.0,7.0,Kyler Murray pass complete short left to Rondale Moore for 11 yards (tackle by Avonte Maddox),0.17,1.99,17.0,2023,247
2.0,14:45,1.0,10.0,ARI 46,3.0,7.0,Kyler Murray pass complete short right to Elijah Higgins for 14 yards (tackle by Kevin Byard),1.99,2.92,17.0,2023,247
2.0,14:06,1.0,10.0,PHI 40,3.0,7.0,James Conner left end for 13 yards (tackle by Reed Blankenship and Kevin Byard),2.92,3.78,17.0,2023,247
2.0,13:22,1.0,10.0,PHI 27,3.0,7.0,Kyler Murray pass complete short middle to Greg Dortch for 7 yards (tackle by Shaquille Leonard),3.78,4.18,17.0,2023,247
2.0,12:48,2.0,3.0,PHI 20,3.0,7.0,Kyler Murray sacked by Jalen Carter for -4 yards,4.18,2.94,17.0,2023,247
2.0,12:01,3.0,7.0,PHI 24,3.0,13.0,"Kyler Murray pass deep left intended for Michael Wilson is intercepted by Sydney Brown at PHI-1 and returned for 99 yards, touchdown",2.94,-7.0,17.0,2023,247
2.0,11:44,,,ARI 15,3.0,14.0,Jake Elliott kicks extra point good,0.0,0.0,17.0,2023,247
2.0,11:44,,,PHI 35,3.0,14.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,247
2.0,11:44,1.0,10.0,ARI 25,3.0,14.0,James Conner right end for 3 yards (tackle by Josh Sweat),0.61,0.47,17.0,2023,247
2.0,11:08,2.0,7.0,ARI 28,3.0,14.0,James Conner right end for 10 yards (tackle by Reed Blankenship),0.47,1.47,17.0,2023,247
2.0,10:31,1.0,10.0,ARI 38,3.0,14.0,Kyler Murray pass complete short left to Rondale Moore for 3 yards (tackle by Kelee Ringo and Sydney Brown),1.47,1.33,17.0,2023,247
2.0,9:51,2.0,7.0,ARI 41,3.0,14.0,Kyler Murray pass complete short right to Trey McBride for 5 yards (tackle by Nicholas Morrow),1.33,1.29,17.0,2023,247
2.0,9:09,3.0,2.0,ARI 46,3.0,14.0,Kyler Murray pass complete short right to Greg Dortch for 6 yards (tackle by Kevin Byard and Nicholas Morrow),1.29,2.39,17.0,2023,247
2.0,8:30,1.0,10.0,PHI 48,3.0,14.0,Rondale Moore right end for 6 yards (tackle by Nicholas Morrow and Sydney Brown),2.39,2.66,17.0,2023,247
2.0,7:50,2.0,4.0,PHI 42,3.0,14.0,James Conner for no gain (no play),2.66,2.12,17.0,2023,247
2.0,7:22,2.0,8.0,PHI 46,3.0,14.0,"Kyler Murray pass incomplete intended for Michael Wilson. Penalty on Kelee Ringo: Illegal Contact, 5 yards (accepted) (no play)",2.12,2.85,17.0,2023,247
2.0,7:22,1.0,10.0,PHI 41,3.0,14.0,James Conner right end for -1 yards (tackle by Nicholas Morrow),2.85,2.17,17.0,2023,247
2.0,6:44,2.0,11.0,PHI 42,3.0,14.0,James Conner left guard for 11 yards (tackle by Nicholas Morrow),2.17,3.51,17.0,2023,247
2.0,6:01,1.0,10.0,PHI 31,3.0,14.0,James Conner left guard for 6 yards (tackle by Kevin Byard and Josh Sweat),3.51,3.78,17.0,2023,247
2.0,5:16,2.0,4.0,PHI 25,3.0,14.0,Michael Carter right tackle for 2 yards (tackle by Nolan Smith and Fletcher Cox),3.78,3.34,17.0,2023,247
2.0,4:43,3.0,2.0,PHI 23,3.0,14.0,Kyler Murray pass complete short left to Trey McBride for 1 yard (tackle by Reed Blankenship),3.34,2.14,17.0,2023,247
2.0,4:03,4.0,1.0,PHI 22,3.0,14.0,James Conner left end for 3 yards (tackle by Nicholas Morrow and Kevin Byard),2.14,4.31,17.0,2023,247
2.0,3:26,1.0,10.0,PHI 19,3.0,14.0,James Conner left tackle for 2 yards (tackle by Jordan Davis and Brandon Graham),4.31,4.03,17.0,2023,247
2.0,2:46,2.0,8.0,PHI 17,3.0,14.0,James Conner left tackle for 1 yard (tackle by Moro Ojomo),4.03,3.41,17.0,2023,247
2.0,2:03,3.0,7.0,PHI 16,3.0,14.0,"Penalty on D.J. Humphries: False Start, 5 yards (accepted) (no play)",3.41,2.81,17.0,2023,247
2.0,2:00,3.0,12.0,PHI 21,3.0,14.0,Kyler Murray scrambles left tackle for 5 yards (tackle by Kevin Byard),2.81,2.38,17.0,2023,247
2.0,1:53,,,,,,Timeout #1 by Philadelphia Eagles,,,17.0,2023,247
2.0,1:53,4.0,7.0,PHI 16,6.0,14.0,Matt Prater 34 yard field goal good,2.38,3.0,17.0,2023,247
2.0,1:50,,,ARI 35,6.0,14.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,247
2.0,1:50,1.0,10.0,PHI 25,6.0,14.0,Jalen Hurts pass incomplete deep right intended for A.J. Brown,0.61,0.06,17.0,2023,247
2.0,1:45,2.0,10.0,PHI 25,6.0,14.0,Jalen Hurts pass complete short left to DeVonta Smith for 8 yards (tackle by Starling Thomas),0.06,0.43,17.0,2023,247
2.0,1:24,3.0,2.0,PHI 33,6.0,14.0,Jalen Hurts pass complete short right to A.J. Brown for 9 yards (tackle by Antonio Hamilton),0.43,1.73,17.0,2023,247
2.0,1:12,1.0,10.0,PHI 42,6.0,14.0,Jalen Hurts pass complete short right to Dallas Goedert for no gain (tackle by Antonio Hamilton),1.73,1.19,17.0,2023,247
2.0,0:50,2.0,10.0,PHI 42,6.0,14.0,Jalen Hurts pass complete short left to A.J. Brown for 10 yards (tackle by Starling Thomas),1.19,2.39,17.0,2023,247
2.0,0:43,1.0,10.0,ARI 48,6.0,14.0,Jalen Hurts pass complete short middle to Dallas Goedert for 9 yards (tackle by Jalen Thompson),2.39,3.06,17.0,2023,247
2.0,0:38,,,,,,Timeout #2 by Philadelphia Eagles,,,17.0,2023,247
2.0,0:38,2.0,1.0,ARI 39,6.0,14.0,Jalen Hurts pass incomplete deep left intended for DeVonta Smith (defended by Starling Thomas),3.06,2.34,17.0,2023,247
2.0,0:32,3.0,1.0,ARI 39,6.0,14.0,Kenneth Gainwell pass complete deep left to DeVonta Smith for 17 yards (tackle by Andre Chachere),2.34,4.11,17.0,2023,247
2.0,0:24,,,,,,Timeout #3 by Philadelphia Eagles,,,17.0,2023,247
2.0,0:24,1.0,10.0,ARI 22,6.0,20.0,"Jalen Hurts pass complete deep right to Julio Jones for 22 yards, touchdown",4.11,7.0,17.0,2023,247
2.0,0:16,,,ARI 15,6.0,21.0,Jake Elliott kicks extra point good,0.0,0.0,17.0,2023,247
2.0,0:16,,,PHI 35,6.0,21.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,247
2.0,0:16,1.0,10.0,ARI 25,6.0,21.0,Kyler Murray pass incomplete short right intended for Emari Demercado,0.61,0.06,17.0,2023,247
2.0,0:12,2.0,10.0,ARI 25,6.0,21.0,Kyler Murray pass complete short right to Emari Demercado for 9 yards (tackle by Nicholas Morrow),0.06,0.56,17.0,2023,247
3.0,15:00,,,PHI 35,6.0,21.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,247
