Quarter,Time,Down,ToGo,Location,LVR,IND,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Raiders won the coin toss and deferred, Colts to receive the opening kickoff.",,,17.0,2023,246
1.0,15:00,,,LVR 35,0.0,0.0,"Daniel Carlson kicks off 64 yards,",0.0,0.61,17.0,2023,246
1.0,15:00,1.0,10.0,IND 25,0.0,0.0,Jonathan Taylor right guard for 4 yards (tackle by Robert Spillane and Bilal Nichols),0.61,0.6,17.0,2023,246
1.0,14:25,2.0,6.0,IND 29,0.0,0.0,Jonathan Taylor left tackle for 1 yard (tackle by John Jenkins and Nate Hobbs),0.6,0.04,17.0,2023,246
1.0,14:02,3.0,5.0,IND 30,0.0,0.0,Gardner Minshew pass complete deep right to Josh Downs for 50 yards (tackle by Jack Jones),0.04,4.24,17.0,2023,246
1.0,13:32,1.0,10.0,LVR 20,0.0,0.0,Jonathan Taylor up the middle for 5 yards (tackle by Divine Deablo and Jerry Tillery),4.24,4.45,17.0,2023,246
1.0,12:55,2.0,5.0,LVR 15,0.0,0.0,Jonathan Taylor up the middle for 10 yards (tackle by Nate Hobbs and Marcus Epps),4.45,6.06,17.0,2023,246
1.0,12:15,1.0,5.0,LVR 5,0.0,6.0,"Jonathan Taylor left end for 5 yards, touchdown",6.06,7.0,17.0,2023,246
1.0,12:11,,,LVR 15,0.0,7.0,Matt Gay kicks extra point good,0.0,0.0,17.0,2023,246
1.0,12:11,,,IND 35,0.0,7.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,246
1.0,12:11,1.0,10.0,LVR 25,0.0,7.0,Aidan O'Connell pass complete short left to Davante Adams for 1 yard (tackle by E.J. Speed),0.61,0.2,17.0,2023,246
1.0,11:37,2.0,9.0,LVR 26,0.0,7.0,Aidan O'Connell pass complete short left to Zamir White for 14 yards (tackle by Ronnie Harrison),0.2,1.6,17.0,2023,246
1.0,11:07,1.0,10.0,LVR 40,0.0,7.0,Zamir White left guard for 2 yards (tackle by Samson Ebukam),1.6,1.32,17.0,2023,246
1.0,10:31,2.0,8.0,LVR 42,0.0,7.0,Aidan O'Connell pass incomplete short left intended for Zamir White,1.32,0.63,17.0,2023,246
1.0,10:25,3.0,8.0,LVR 42,0.0,7.0,Aidan O'Connell pass complete deep right to Davante Adams for 24 yards (tackle by Nick Cross),0.63,3.31,17.0,2023,246
1.0,9:55,1.0,10.0,IND 34,0.0,7.0,Aidan O'Connell sacked by Tyquan Lewis for -9 yards,3.31,1.55,17.0,2023,246
1.0,9:13,2.0,19.0,IND 43,0.0,7.0,Aidan O'Connell pass complete short right to Zamir White for 3 yards (tackle by E.J. Speed),1.55,1.29,17.0,2023,246
1.0,8:30,3.0,16.0,IND 40,0.0,7.0,Aidan O'Connell pass complete short right to Ameer Abdullah for 18 yards (tackle by Jaylon Jones),1.29,4.11,17.0,2023,246
1.0,7:47,1.0,10.0,IND 22,0.0,7.0,"Penalty on Jermaine Eluemunor: False Start, 5 yards (accepted) (no play)",4.11,3.78,17.0,2023,246
1.0,7:22,1.0,15.0,IND 27,0.0,7.0,Aidan O'Connell pass complete short left to Zamir White for 4 yards (tackle by DeForest Buckner and Nick Cross),3.78,3.43,17.0,2023,246
1.0,6:44,2.0,11.0,IND 23,0.0,7.0,Zamir White up the middle for 2 yards (tackle by DeForest Buckner),3.43,3.01,17.0,2023,246
1.0,6:06,3.0,9.0,IND 21,0.0,7.0,Aidan O'Connell pass incomplete short right intended for Jakobi Meyers (defended by Julius Brents),3.01,2.06,17.0,2023,246
1.0,6:01,4.0,9.0,IND 21,3.0,7.0,Daniel Carlson 40 yard field goal good,2.06,3.0,17.0,2023,246
1.0,5:57,,,LVR 35,3.0,7.0,"Daniel Carlson kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,246
1.0,5:57,1.0,10.0,IND 25,3.0,7.0,Gardner Minshew pass incomplete short left,0.61,0.06,17.0,2023,246
1.0,5:52,2.0,10.0,IND 25,3.0,7.0,Gardner Minshew pass incomplete short left intended for Michael Pittman,0.06,-0.62,17.0,2023,246
1.0,5:48,3.0,10.0,IND 25,3.0,7.0,Gardner Minshew sacked by Adam Butler for -9 yards,-0.62,-2.39,17.0,2023,246
1.0,5:04,4.0,19.0,IND 16,3.0,7.0,"Rigoberto Sanchez punts 51 yards, fair catch by DeAndre Carter at LV-33",-2.39,-1.14,17.0,2023,246
1.0,4:57,1.0,10.0,LVR 33,3.0,7.0,"Penalty on Jakob Johnson: False Start, 5 yards (accepted) (no play)",1.14,0.81,17.0,2023,246
1.0,4:57,1.0,15.0,LVR 28,3.0,7.0,Zamir White right tackle for 3 yards (tackle by Dayo Odeyingbo and Taven Bryan),0.81,0.32,17.0,2023,246
1.0,4:21,2.0,12.0,LVR 31,3.0,7.0,Aidan O'Connell pass complete short right to Davante Adams for 7 yards (tackle by Julius Brents),0.32,0.56,17.0,2023,246
