Quarter,Time,Down,ToGo,Location,LAC,DEN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Broncos won the coin toss and deferred, Chargers to receive the opening kickoff.",,,17.0,2023,255
1.0,15:00,,,DEN 35,0.0,0.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,255
1.0,15:00,1.0,10.0,LAC 25,0.0,0.0,Austin Ekeler left tackle for 5 yards (tackle by Alex Singleton),0.61,0.74,17.0,2023,255
1.0,14:27,2.0,5.0,LAC 30,0.0,0.0,Austin Ekeler up the middle for 3 yards (tackle by P.J. Locke),0.74,0.43,17.0,2023,255
1.0,14:06,3.0,2.0,LAC 33,0.0,0.0,Easton Stick pass incomplete short middle intended for Gerald Everett,0.43,-1.18,17.0,2023,255
1.0,13:58,4.0,2.0,LAC 33,0.0,0.0,"JK Scott punts 47 yards, fair catch by Michael Bandy at DEN-20",-1.18,-0.28,17.0,2023,255
1.0,13:51,1.0,10.0,DEN 20,0.0,0.0,Jaleel McLaughlin right end for 5 yards (tackle by Derwin James),0.28,0.41,17.0,2023,255
1.0,13:15,2.0,5.0,DEN 25,0.0,0.0,Jarrett Stidham scrambles left tackle for 4 yards (tackle by Eric Kendricks),0.41,0.23,17.0,2023,255
1.0,12:33,,,,,,Timeout #1 by Denver Broncos,,,17.0,2023,255
1.0,12:33,3.0,1.0,DEN 29,0.0,0.0,Jarrett Stidham pass complete short middle to Samaje Perine for 5 yards (tackle by Derwin James),0.23,1.2,17.0,2023,255
1.0,11:48,1.0,10.0,DEN 34,0.0,0.0,Jarrett Stidham pass incomplete short middle intended for Jerry Jeudy (defended by Derwin James),1.2,0.66,17.0,2023,255
1.0,11:43,2.0,10.0,DEN 34,0.0,0.0,Jarrett Stidham pass incomplete deep left intended for Lil'Jordan Humphrey,0.66,-0.03,17.0,2023,255
1.0,11:38,3.0,10.0,DEN 34,0.0,0.0,Jarrett Stidham pass incomplete short left intended for Jerry Jeudy,-0.03,-1.11,17.0,2023,255
1.0,11:33,4.0,10.0,DEN 34,0.0,0.0,"Riley Dixon punts 63 yards, returned by Derius Davis for 12 yards (tackle by Mitchell Fraboni and Drew Sanders)",-1.11,0.22,17.0,2023,255
1.0,11:21,1.0,10.0,LAC 15,0.0,0.0,Easton Stick sacked by Jonathon Cooper for -5 yards,-0.22,-1.15,17.0,2023,255
1.0,10:40,2.0,15.0,LAC 10,0.0,0.0,Easton Stick pass incomplete short middle intended for Quentin Johnston,-1.15,-2.01,17.0,2023,255
1.0,10:36,3.0,15.0,LAC 10,0.0,0.0,Easton Stick left guard for 9 yards (tackle by P.J. Locke),-2.01,-2.14,17.0,2023,255
1.0,9:58,4.0,6.0,LAC 19,0.0,0.0,"JK Scott punts 61 yards, returned by Tremon Smith for 14 yards (tackle by Nick Niemann and Daiyan Henley)",-2.14,-1.2,17.0,2023,255
1.0,9:44,1.0,10.0,DEN 34,0.0,0.0,Javonte Williams left tackle for 2 yards (tackle by Michael Davis),1.2,0.93,17.0,2023,255
1.0,9:11,2.0,8.0,DEN 36,0.0,0.0,Jarrett Stidham pass complete short right to Jaleel McLaughlin for 10 yards (tackle by Alohi Gilman and Eric Kendricks),0.93,1.99,17.0,2023,255
1.0,8:32,1.0,10.0,DEN 46,0.0,0.0,Javonte Williams right tackle for 2 yards (tackle by Derwin James),1.99,1.72,17.0,2023,255
1.0,7:51,2.0,8.0,DEN 48,0.0,0.0,Jarrett Stidham pass complete short right to Brandon Johnson for 6 yards (tackle by Michael Davis),1.72,1.82,17.0,2023,255
1.0,7:10,3.0,2.0,LAC 46,0.0,0.0,Samaje Perine up the middle for 5 yards (tackle by Christopher Hinton and Eric Kendricks),1.82,2.85,17.0,2023,255
1.0,6:29,1.0,10.0,LAC 41,0.0,0.0,Jaleel McLaughlin right end for 9 yards (tackle by Derwin James),2.85,3.52,17.0,2023,255
1.0,5:50,2.0,1.0,LAC 32,0.0,0.0,Javonte Williams right tackle for 16 yards (tackle by Justin Hollins and Nick Niemann),3.52,4.51,17.0,2023,255
1.0,4:58,1.0,10.0,LAC 16,0.0,0.0,Javonte Williams right end for 1 yard (tackle by Andrew Farmer),4.51,4.05,17.0,2023,255
1.0,4:34,2.0,9.0,LAC 15,0.0,0.0,Jarrett Stidham pass incomplete short right intended for Adam Trautman,4.05,3.22,17.0,2023,255
1.0,4:31,3.0,9.0,LAC 15,0.0,0.0,Jarrett Stidham pass complete short right to Jerry Jeudy for 7 yards (tackle by Michael Davis),3.22,2.99,17.0,2023,255
1.0,3:58,4.0,2.0,LAC 8,0.0,0.0,"Penalty on DEN: Delay of Game, 5 yards (accepted) (no play)",2.99,2.57,17.0,2023,255
1.0,3:58,4.0,7.0,LAC 13,0.0,3.0,Wil Lutz 32 yard field goal good,2.57,3.0,17.0,2023,255
1.0,3:55,,,DEN 35,0.0,3.0,"Wil Lutz kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,255
1.0,3:55,1.0,10.0,LAC 25,0.0,3.0,Gerald Everett right end for 6 yards (tackle by Alex Singleton),0.61,0.87,17.0,2023,255
