Player,Tm,Rushing Att,Rushing Yds,Rushing TD,Rushing Lng,week,year,game_id
Brock Purdy,SFO,1,4,0,4,17.0,2023,252
Sam Darnold,SFO,2,-2,0,-1,17.0,2023,252
Elijah Mitchell,SFO,17,80,1,15,17.0,2023,252
Christian McCaffrey,SFO,14,64,0,13,17.0,2023,252
Deebo Samuel,SFO,3,35,0,17,17.0,2023,252
Jordan Mason,SFO,2,3,0,5,17.0,2023,252
Brandon Aiyuk,SFO,0,0,0,0,17.0,2023,252
George Kittle,SFO,0,0,0,0,17.0,2023,252
Kyle Juszczyk,SFO,0,0,0,0,17.0,2023,252
Ronnie Bell,SFO,0,0,0,0,17.0,2023,252
Sam Howell,WAS,1,-1,0,-1,17.0,2023,252
Brian Robinson Jr.,WAS,9,44,0,12,17.0,2023,252
Antonio Gibson,WAS,4,19,0,16,17.0,2023,252
Terry McLaurin,WAS,0,0,0,0,17.0,2023,252
Curtis Samuel,WAS,0,0,0,0,17.0,2023,252
Logan Thomas,WAS,0,0,0,0,17.0,2023,252
John Bates,WAS,0,0,0,0,17.0,2023,252
Byron Pringle,WAS,0,0,0,0,17.0,2023,252
Jahan Dotson,WAS,0,0,0,0,17.0,2023,252
