Unnamed: 0,LVR,IND,week,year,game_id
First Downs,26,16,17.0,2023,246
Rush-Yds-TDs,25-84-0,29-134-1,17.0,2023,246
Cmp-Att-Yd-TD-INT,30-47-299-2-0,15-23-224-1-0,17.0,2023,246
Sacked-Yards,2-13,1-9,17.0,2023,246
Net Pass Yards,286,215,17.0,2023,246
Total Yards,370,349,17.0,2023,246
Fumbles-Lost,0-0,1-0,17.0,2023,246
Turnovers,0,0,17.0,2023,246
Penalties-Yards,7-54,5-52,17.0,2023,246
Third Down Conv.,5-15,6-13,17.0,2023,246
Fourth Down Conv.,2-2,1-1,17.0,2023,246
Time of Possession,33:44,26:16,17.0,2023,246
