Quarter,Time,Down,ToGo,Location,CAR,JAX,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Panthers won the coin toss and deferred, Jaguars to receive the opening kickoff.",,,17.0,2023,245
1.0,15:00,,,CAR 35,0.0,0.0,"Kamu Grugier-Hill kicks off 47 yards, returned by D'Ernest Johnson for 22 yards (tackle by Alex Cook)",0.0,1.6,17.0,2023,245
1.0,14:54,1.0,10.0,JAX 40,0.0,0.0,Travis Etienne up the middle for 5 yards (tackle by Kamu Grugier-Hill),1.6,1.73,17.0,2023,245
1.0,14:34,2.0,5.0,JAX 45,0.0,0.0,Travis Etienne right guard for 4 yards (tackle by Derrick Brown and DeShawn Williams),1.73,1.55,17.0,2023,245
1.0,14:00,3.0,1.0,JAX 49,0.0,0.0,C.J. Beathard pass complete short left to Evan Engram for 10 yards (tackle by Brian Burns),1.55,2.85,17.0,2023,245
1.0,13:27,1.0,10.0,CAR 41,0.0,0.0,C.J. Beathard pass complete short right to Jamal Agnew for 5 yards,2.85,2.98,17.0,2023,245
1.0,13:00,2.0,5.0,CAR 36,0.0,0.0,Tank Bigsby up the middle for 1 yard (tackle by Jeremy Chinn),2.98,2.41,17.0,2023,245
1.0,12:23,3.0,4.0,CAR 35,0.0,0.0,C.J. Beathard pass complete short right to Calvin Ridley for 12 yards (tackle by Shaquill Griffin),2.41,4.04,17.0,2023,245
1.0,11:46,1.0,10.0,CAR 23,0.0,0.0,Travis Etienne right guard for 2 yards (tackle by Marquis Haynes and Deion Jones),4.04,3.77,17.0,2023,245
1.0,11:11,2.0,8.0,CAR 21,0.0,0.0,C.J. Beathard pass complete short left to Luke Farrell for 7 yards (tackle by Deion Jones),3.77,4.28,17.0,2023,245
1.0,10:37,3.0,1.0,CAR 14,0.0,0.0,Tank Bigsby up the middle for 3 yards (tackle by Marquis Haynes),4.28,4.84,17.0,2023,245
1.0,10:02,,,,,,Timeout #1 by Carolina Panthers,,,17.0,2023,245
1.0,10:02,1.0,10.0,CAR 11,0.0,0.0,D'Ernest Johnson left guard for 1 yard (tackle by Derrick Brown and Yetur Gross-Matos),4.84,4.32,17.0,2023,245
1.0,9:23,2.0,9.0,CAR 10,0.0,0.0,C.J. Beathard pass incomplete short right intended for Brenton Strange,4.32,3.3,17.0,2023,245
1.0,9:18,3.0,9.0,CAR 10,0.0,0.0,C.J. Beathard sacked by Brian Burns for -7 yards,3.3,2.31,17.0,2023,245
1.0,8:40,4.0,16.0,CAR 17,0.0,3.0,Brandon McManus 35 yard field goal good,2.31,3.0,17.0,2023,245
1.0,8:36,,,JAX 35,0.0,3.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,245
1.0,8:36,1.0,10.0,CAR 25,0.0,3.0,Bryce Young pass complete short right to Adam Thielen for 8 yards (tackle by Devin Lloyd),0.61,1.14,17.0,2023,245
1.0,8:02,2.0,2.0,CAR 33,0.0,3.0,Chuba Hubbard left guard for no gain (tackle by Travon Walker and Josh Allen),1.14,0.43,17.0,2023,245
1.0,7:19,3.0,2.0,CAR 33,0.0,3.0,Bryce Young pass complete short right to Ihmir Smith-Marsette for 9 yards (tackle by Antonio Johnson),0.43,1.73,17.0,2023,245
1.0,6:38,1.0,10.0,CAR 42,0.0,3.0,Bryce Young pass complete short right to Chuba Hubbard for 6 yards (tackle by Tyson Campbell),1.73,2.0,17.0,2023,245
1.0,5:58,2.0,4.0,CAR 48,0.0,3.0,Chuba Hubbard left guard for 7 yards (tackle by Foyesade Oluokun),2.0,2.59,17.0,2023,245
1.0,5:17,1.0,10.0,JAX 45,0.0,3.0,Miles Sanders up the middle for 7 yards (tackle by Tyson Campbell and Andre Cisco),2.59,2.99,17.0,2023,245
1.0,4:36,2.0,3.0,JAX 38,0.0,3.0,Bryce Young pass incomplete short right,2.99,2.28,17.0,2023,245
1.0,4:32,3.0,3.0,JAX 38,0.0,3.0,Bryce Young pass incomplete short left intended for Stephen Sullivan (defended by Rayshawn Jenkins),2.28,0.72,17.0,2023,245
1.0,4:26,4.0,3.0,JAX 38,0.0,3.0,Bryce Young pass complete short right to Adam Thielen for 14 yards (tackle by Andre Cisco),0.72,3.97,17.0,2023,245
1.0,3:46,1.0,10.0,JAX 24,0.0,3.0,Bryce Young pass complete short right to Jonathan Mingo for -4 yards (tackle by Tyson Campbell),3.97,2.89,17.0,2023,245
1.0,3:01,2.0,14.0,JAX 28,0.0,3.0,Chuba Hubbard up the middle for 7 yards (tackle by Foyesade Oluokun and Tyler Lacy),2.89,3.14,17.0,2023,245
1.0,2:19,3.0,7.0,JAX 21,0.0,3.0,Bryce Young pass incomplete short middle intended for Tommy Tremble (defended by Foyesade Oluokun),3.14,2.06,17.0,2023,245
1.0,2:15,4.0,7.0,JAX 21,0.0,3.0,Bryce Young sacked by Roy Robertson-Harris for -10 yards,2.06,-1.0,17.0,2023,245
1.0,2:10,1.0,10.0,JAX 31,0.0,3.0,Tank Bigsby up the middle for 4 yards (tackle by Vonn Bell and Yetur Gross-Matos),1.0,1.0,17.0,2023,245
1.0,1:32,2.0,6.0,JAX 35,0.0,3.0,C.J. Beathard pass complete short right to Travis Etienne for 8 yards (tackle by Derrick Brown and Deion Jones),1.0,1.8,17.0,2023,245
1.0,0:59,1.0,10.0,JAX 43,0.0,3.0,Travis Etienne left end for 3 yards (tackle by Brian Burns and Vonn Bell),1.8,1.66,17.0,2023,245
1.0,0:18,2.0,7.0,JAX 46,0.0,3.0,Travis Etienne right end for 3 yards (tackle by Marquis Haynes),1.66,1.35,17.0,2023,245
2.0,15:00,3.0,4.0,JAX 49,0.0,3.0,C.J. Beathard pass incomplete short right intended for Calvin Ridley,1.35,-0.13,17.0,2023,245
2.0,14:56,4.0,4.0,JAX 49,0.0,3.0,"Logan Cooke punts 37 yards, returned by Ihmir Smith-Marsette for 8 yards (tackle by Andrew Wingard)",-0.13,-0.41,17.0,2023,245
2.0,14:46,1.0,10.0,CAR 22,0.0,3.0,Chuba Hubbard up the middle for 2 yards (tackle by Josh Allen),0.41,0.14,17.0,2023,245
2.0,14:03,2.0,8.0,CAR 24,0.0,3.0,Bryce Young pass incomplete deep middle intended for Jonathan Mingo,0.14,-0.56,17.0,2023,245
2.0,13:57,3.0,8.0,CAR 24,0.0,3.0,Bryce Young sacked by Travon Walker for -10 yards,-0.56,-2.47,17.0,2023,245
2.0,13:11,4.0,18.0,CAR 14,0.0,3.0,Johnny Hekker punts 48 yards out of bounds,-2.47,-1.47,17.0,2023,245
2.0,13:05,1.0,10.0,JAX 38,0.0,3.0,C.J. Beathard pass complete short right to Calvin Ridley for 14 yards (tackle by Donte Jackson and AJ Parker),1.47,2.39,17.0,2023,245
2.0,12:30,1.0,10.0,CAR 48,0.0,3.0,C.J. Beathard pass complete short right to Travis Etienne for 8 yards (tackle by Nick Thurman),2.39,2.93,17.0,2023,245
2.0,11:53,2.0,2.0,CAR 40,0.0,3.0,C.J. Beathard sacked by Yetur Gross-Matos for -1 yards,2.93,2.08,17.0,2023,245
2.0,11:14,3.0,3.0,CAR 41,0.0,3.0,C.J. Beathard pass complete short right to Parker Washington for 2 yards (tackle by Xavier Woods),2.08,0.66,17.0,2023,245
2.0,10:39,4.0,1.0,CAR 39,0.0,3.0,C.J. Beathard pass complete short right to Evan Engram for 4 yards (tackle by Deion Jones),0.66,3.25,17.0,2023,245
2.0,10:03,1.0,10.0,CAR 35,0.0,3.0,Travis Etienne up the middle for no gain (tackle by Derrick Brown and Nick Thurman),3.25,2.7,17.0,2023,245
2.0,9:26,2.0,10.0,CAR 35,0.0,3.0,C.J. Beathard pass incomplete short right intended for Calvin Ridley (defended by Derrick Brown),2.7,2.01,17.0,2023,245
2.0,9:21,3.0,10.0,CAR 35,0.0,3.0,C.J. Beathard pass complete short middle to Evan Engram for 22 yards (tackle by Xavier Woods),2.01,4.71,17.0,2023,245
2.0,8:41,1.0,10.0,CAR 13,0.0,3.0,Tank Bigsby up the middle for -3 yards (tackle by Donte Jackson and Derrick Brown),4.71,3.62,17.0,2023,245
2.0,8:09,2.0,13.0,CAR 16,0.0,3.0,C.J. Beathard pass complete short left to Evan Engram for 8 yards (tackle by Deion Jones and AJ Parker),3.62,4.1,17.0,2023,245
