Unnamed: 0,GNB,MIN,week,year,game_id
First Downs,28,13,17.0,2023,256
Rush-Yds-TDs,39-177-1,16-67-0,17.0,2023,256
Cmp-Att-Yd-TD-INT,25-34-293-3-0,18-32-180-1-1,17.0,2023,256
Sacked-Yards,0-0,4-36,17.0,2023,256
Net Pass Yards,293,144,17.0,2023,256
Total Yards,470,211,17.0,2023,256
Fumbles-Lost,1-1,1-1,17.0,2023,256
Turnovers,1,2,17.0,2023,256
Penalties-Yards,4-32,6-27,17.0,2023,256
Third Down Conv.,9-14,3-10,17.0,2023,256
Fourth Down Conv.,0-1,0-2,17.0,2023,256
Time of Possession,37:32,22:28,17.0,2023,256
