Unnamed: 0,ATL,CHI,week,year,game_id
First Downs,15,22,17.0,2023,243
Rush-Yds-TDs,24-134-1,37-192-3,17.0,2023,243
Cmp-Att-Yd-TD-INT,13-33-180-1-4,20-32-268-1-0,17.0,2023,243
Sacked-Yards,2-7,3-28,17.0,2023,243
Net Pass Yards,173,240,17.0,2023,243
Total Yards,307,432,17.0,2023,243
Fumbles-Lost,1-0,1-0,17.0,2023,243
Turnovers,4,0,17.0,2023,243
Penalties-Yards,1-15,5-55,17.0,2023,243
Third Down Conv.,4-13,6-16,17.0,2023,243
Fourth Down Conv.,0-1,1-2,17.0,2023,243
Time of Possession,22:46,37:14,17.0,2023,243
