Quarter,Time,Down,ToGo,Location,TEN,HOU,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Texans won the coin toss and deferred, Titans to receive the opening kickoff.",,,17.0,2023,248
1.0,15:00,,,HOU 35,0.0,0.0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,248
1.0,15:00,1.0,10.0,TEN 25,0.0,0.0,Derrick Henry right guard for 4 yards (tackle by Derek Stingley),0.61,0.6,17.0,2023,248
1.0,14:24,2.0,6.0,TEN 29,0.0,0.0,Will Levis pass incomplete deep middle intended for Treylon Burks,0.6,-0.1,17.0,2023,248
1.0,14:17,,,,,,Timeout #1 by Tennessee Titans,,,17.0,2023,248
1.0,14:17,3.0,6.0,TEN 29,0.0,0.0,Will Levis pass incomplete short right intended for Chris Moore (defended by Desmond King),-0.1,-1.44,17.0,2023,248
1.0,14:12,4.0,6.0,TEN 29,0.0,0.0,Ty Zentner punts 39 yards out of bounds,-1.44,-1.07,17.0,2023,248
1.0,14:04,1.0,10.0,HOU 32,0.0,0.0,Devin Singletary left guard for 4 yards (tackle by Marlon Davidson),1.07,1.07,17.0,2023,248
1.0,13:31,2.0,6.0,HOU 36,0.0,0.0,C.J. Stroud pass complete short right to Devin Singletary for 3 yards (tackle by Otis Reese),1.07,0.76,17.0,2023,248
1.0,12:53,3.0,3.0,HOU 39,0.0,0.0,C.J. Stroud pass complete short middle to Noah Brown for 8 yards (tackle by Azeez Al-Shaair and Roger McCreary),0.76,2.06,17.0,2023,248
1.0,12:19,1.0,10.0,HOU 47,0.0,0.0,Devin Singletary up the middle for 8 yards (tackle by K'Von Wallace and Azeez Al-Shaair),2.06,2.6,17.0,2023,248
1.0,11:39,2.0,2.0,TEN 45,0.0,0.0,Devin Singletary up the middle for 2 yards (tackle by Keondre Coburn),2.6,2.72,17.0,2023,248
1.0,11:02,1.0,10.0,TEN 43,0.0,0.0,C.J. Stroud pass complete short right to Nico Collins for 9 yards (tackle by Mike Brown),2.72,3.39,17.0,2023,248
1.0,10:20,2.0,1.0,TEN 34,0.0,0.0,Devin Singletary right tackle for 5 yards (tackle by Jaleel Johnson),3.39,3.64,17.0,2023,248
1.0,9:32,1.0,10.0,TEN 29,0.0,0.0,Devin Singletary right guard for 1 yard (tackle by Marlon Davidson),3.64,3.24,17.0,2023,248
1.0,8:58,2.0,9.0,TEN 28,0.0,0.0,C.J. Stroud pass complete short right to Robert Woods for 18 yards (tackle by K'Von Wallace),3.24,4.91,17.0,2023,248
1.0,8:13,1.0,10.0,TEN 10,0.0,0.0,C.J. Stroud pass complete short middle to Xavier Hutchinson for no gain (tackle by K'Von Wallace),4.91,4.19,17.0,2023,248
1.0,7:31,2.0,10.0,TEN 10,0.0,0.0,C.J. Stroud pass incomplete short middle,4.19,3.13,17.0,2023,248
1.0,7:24,3.0,10.0,TEN 10,0.0,0.0,C.J. Stroud pass incomplete short left intended for Noah Brown,3.13,2.76,17.0,2023,248
1.0,7:20,4.0,10.0,TEN 10,0.0,3.0,Ka'imi Fairbairn 28 yard field goal good,2.76,3.0,17.0,2023,248
1.0,7:17,,,HOU 35,0.0,3.0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,248
1.0,7:17,1.0,10.0,TEN 25,0.0,3.0,Will Levis pass complete short left to DeAndre Hopkins for 4 yards (tackle by DeAndre Houston-Carson),0.61,0.6,17.0,2023,248
1.0,6:45,2.0,6.0,TEN 29,0.0,3.0,Derrick Henry left tackle for 7 yards (tackle by Steven Nelson),0.6,1.33,17.0,2023,248
1.0,6:08,1.0,10.0,TEN 36,0.0,3.0,Tyjae Spears left tackle for 5 yards (tackle by Teair Tart),1.33,1.47,17.0,2023,248
1.0,5:27,2.0,5.0,TEN 41,0.0,3.0,Derrick Henry right guard for 2 yards (tackle by Denzel Perryman),1.47,1.03,17.0,2023,248
