Unnamed: 0,NYJ,CLE,week,year,game_id
First Downs,17,20,17.0,2023,241
Rush-Yds-TDs,21-107-0,28-127-1,17.0,2023,241
Cmp-Att-Yd-TD-INT,32-45-261-1-1,19-29-309-3-1,17.0,2023,241
Sacked-Yards,2-8,1-8,17.0,2023,241
Net Pass Yards,253,301,17.0,2023,241
Total Yards,360,428,17.0,2023,241
Fumbles-Lost,1-1,4-2,17.0,2023,241
Turnovers,2,3,17.0,2023,241
Penalties-Yards,12-74,4-26,17.0,2023,241
Third Down Conv.,6-16,5-10,17.0,2023,241
Fourth Down Conv.,1-2,0-1,17.0,2023,241
Time of Possession,31:51,28:09,17.0,2023,241
