Unnamed: 0,CAR,JAX,week,year,game_id
First Downs,7,16,17.0,2023,245
Rush-Yds-TDs,15-57-0,35-155-2,17.0,2023,245
Cmp-Att-Yd-TD-INT,19-32-112-0-1,17-24-178-0-0,17.0,2023,245
Sacked-Yards,6-45,3-16,17.0,2023,245
Net Pass Yards,67,162,17.0,2023,245
Total Yards,124,317,17.0,2023,245
Fumbles-Lost,0-0,0-0,17.0,2023,245
Turnovers,1,0,17.0,2023,245
Penalties-Yards,3-24,1-15,17.0,2023,245
Third Down Conv.,1-13,7-16,17.0,2023,245
Fourth Down Conv.,3-6,1-1,17.0,2023,245
Time of Possession,26:31,33:29,17.0,2023,245
