Unnamed: 0,DET,DAL,week,year,game_id
First Downs,21,17,17.0,2023,242
Rush-Yds-TDs,31-125-1,21-61-0,17.0,2023,242
Cmp-Att-Yd-TD-INT,20-35-302-1-2,26-38-345-2-1,17.0,2023,242
Sacked-Yards,1-7,3-22,17.0,2023,242
Net Pass Yards,295,323,17.0,2023,242
Total Yards,420,384,17.0,2023,242
Fumbles-Lost,0-0,2-1,17.0,2023,242
Turnovers,2,2,17.0,2023,242
Penalties-Yards,6-35,5-34,17.0,2023,242
Third Down Conv.,4-13,7-14,17.0,2023,242
Fourth Down Conv.,2-3,0-0,17.0,2023,242
Time of Possession,30:36,29:24,17.0,2023,242
