Unnamed: 0,NOR,TAM,week,year,game_id
First Downs,20,13,17.0,2023,250
Rush-Yds-TDs,35-108-0,15-57-0,17.0,2023,250
Cmp-Att-Yd-TD-INT,25-34-208-2-0,22-33-309-2-2,17.0,2023,250
Sacked-Yards,1-6,2-17,17.0,2023,250
Net Pass Yards,202,292,17.0,2023,250
Total Yards,310,349,17.0,2023,250
Fumbles-Lost,0-0,2-2,17.0,2023,250
Turnovers,0,4,17.0,2023,250
Penalties-Yards,5-31,5-38,17.0,2023,250
Third Down Conv.,8-18,2-8,17.0,2023,250
Fourth Down Conv.,0-0,1-1,17.0,2023,250
Time of Possession,36:38,23:22,17.0,2023,250
