Quarter,Time,Down,ToGo,Location,GNB,MIN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Packers won the coin toss, Packers to receive the opening kickoff.",,,17.0,2023,256
1.0,15:00,,,MIN 35,0.0,0.0,"Greg Joseph kicks off 68 yards, returned by Keisean Nixon for 23 yards (tackle by Ivan Pace and NaJee Thompson)",0.0,0.28,17.0,2023,256
1.0,14:56,1.0,10.0,GNB 20,0.0,0.0,Jordan Love pass incomplete deep middle intended for Jayden Reed,0.28,-0.27,17.0,2023,256
1.0,14:51,2.0,10.0,GNB 20,0.0,0.0,Aaron Jones right tackle for 3 yards (tackle by Patrick Jones and Ivan Pace),-0.27,-0.56,17.0,2023,256
1.0,14:16,3.0,7.0,GNB 23,0.0,0.0,Jordan Love pass incomplete short left intended for Romeo Doubs,-0.56,-1.83,17.0,2023,256
1.0,14:08,4.0,7.0,GNB 23,0.0,0.0,"Daniel Whelan punts 54 yards, returned by Brandon Powell for no gain (tackle by Robert Rochell)",-1.83,-0.48,17.0,2023,256
1.0,14:01,1.0,10.0,MIN 23,0.0,0.0,Jaren Hall scrambles right end for 5 yards (tackle by Darnell Savage),0.48,0.61,17.0,2023,256
1.0,13:29,2.0,5.0,MIN 28,0.0,0.0,Ty Chandler right guard for 4 yards (tackle by Rashan Gary and Isaiah McDuffie),0.61,0.43,17.0,2023,256
1.0,12:52,3.0,1.0,MIN 32,0.0,0.0,Jaren Hall pass incomplete short right intended for Johnny Mundt (defended by Isaiah McDuffie),0.43,-1.24,17.0,2023,256
1.0,12:44,4.0,1.0,MIN 32,0.0,0.0,"Ryan Wright punts 68 yards, touchback.",-1.24,-0.28,17.0,2023,256
1.0,12:36,1.0,10.0,GNB 20,0.0,0.0,Jordan Love pass complete short right to Tucker Kraft for 5 yards (tackle by Josh Metellus),0.28,0.41,17.0,2023,256
1.0,11:59,2.0,5.0,GNB 25,0.0,0.0,Aaron Jones right tackle for 2 yards (tackle by Patrick Jones),0.41,-0.03,17.0,2023,256
1.0,11:17,3.0,3.0,GNB 27,0.0,0.0,Jordan Love pass complete short left to Romeo Doubs for 4 yards (tackle by Mekhi Blackmon),-0.03,1.0,17.0,2023,256
1.0,10:41,1.0,10.0,GNB 31,0.0,0.0,Jordan Love pass complete short right to Tucker Kraft for 13 yards (tackle by Akayleb Evans),1.0,1.86,17.0,2023,256
1.0,10:04,1.0,10.0,GNB 44,0.0,0.0,Jordan Love pass complete short left to Jayden Reed for 6 yards (tackle by Akayleb Evans),1.86,2.13,17.0,2023,256
1.0,9:35,2.0,4.0,MIN 50,0.0,0.0,Aaron Jones left tackle for 1 yard (tackle by Khyiris Tonga),2.13,1.55,17.0,2023,256
1.0,8:51,3.0,3.0,MIN 49,0.0,0.0,Jordan Love pass complete short middle to Bo Melton for 12 yards (tackle by Camryn Bynum and Ivan Pace),1.55,3.12,17.0,2023,256
1.0,8:23,1.0,10.0,MIN 37,0.0,0.0,Aaron Jones left end for 19 yards (tackle by Josh Metellus),3.12,4.37,17.0,2023,256
1.0,7:42,1.0,10.0,MIN 18,0.0,0.0,AJ Dillon left guard for 2 yards (tackle by Khyiris Tonga and Harrison Phillips),4.37,4.09,17.0,2023,256
1.0,7:01,2.0,8.0,MIN 16,0.0,0.0,Jordan Love pass incomplete short middle intended for Bo Melton (defended by Harrison Phillips),4.09,3.3,17.0,2023,256
1.0,6:53,3.0,8.0,MIN 16,0.0,0.0,Jordan Love pass incomplete deep left intended for Malik Heath,3.3,2.38,17.0,2023,256
1.0,6:47,4.0,8.0,MIN 16,3.0,0.0,Anders Carlson 34 yard field goal good,2.38,3.0,17.0,2023,256
1.0,6:43,,,GNB 35,3.0,0.0,"Anders Carlson kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,256
1.0,6:43,1.0,10.0,MIN 25,3.0,0.0,Ty Chandler left tackle for 3 yards (tackle by Rashan Gary),0.61,0.47,17.0,2023,256
1.0,6:03,2.0,7.0,MIN 28,3.0,0.0,Jaren Hall pass short middle intended for Johnny Mundt is intercepted by Corey Ballentine at MIN-33 and returned for no gain (tackle by Johnny Mundt),0.47,-3.38,17.0,2023,256
1.0,5:58,1.0,10.0,MIN 33,3.0,0.0,Jordan Love pass complete short left to Jayden Reed for no gain (tackle by Josh Metellus),3.38,2.84,17.0,2023,256
1.0,5:15,2.0,10.0,MIN 33,9.0,0.0,"Jordan Love pass complete deep middle to Jayden Reed for 33 yards, touchdown",2.84,7.0,17.0,2023,256
1.0,5:10,,,MIN 15,10.0,0.0,Anders Carlson kicks extra point good,0.0,0.0,17.0,2023,256
1.0,5:10,,,GNB 35,10.0,0.0,"Anders Carlson kicks off 66 yards, returned by Kene Nwangwu for 21 yards (tackle by Eric Wilson)",0.0,0.28,17.0,2023,256
1.0,5:05,1.0,10.0,MIN 20,10.0,0.0,Ty Chandler up the middle for 9 yards (tackle by Quay Walker and Keisean Nixon),0.28,0.95,17.0,2023,256
1.0,4:26,2.0,1.0,MIN 29,10.0,0.0,Ty Chandler left guard for 9 yards (tackle by Isaiah McDuffie),0.95,1.47,17.0,2023,256
1.0,3:42,1.0,10.0,MIN 38,10.0,0.0,"Penalty on Kenny Clark: Encroachment, 5 yards (accepted) (no play)",1.47,2.2,17.0,2023,256
1.0,3:32,1.0,5.0,MIN 43,10.0,0.0,Ty Chandler right end for 1 yard (tackle by Devonte Wyatt and Carrington Valentine),2.2,1.73,17.0,2023,256
1.0,2:47,2.0,4.0,MIN 44,10.0,0.0,Jaren Hall pass incomplete deep left intended for Justin Jefferson (defended by Corey Ballentine),1.73,1.02,17.0,2023,256
1.0,2:41,3.0,4.0,MIN 44,10.0,0.0,Jaren Hall pass incomplete short right,1.02,-0.46,17.0,2023,256
1.0,2:34,4.0,4.0,MIN 44,10.0,0.0,Ryan Wright punts 30 yards out of bounds,-0.46,-0.67,17.0,2023,256
1.0,2:28,1.0,10.0,GNB 26,10.0,0.0,AJ Dillon right guard for 11 yards (tackle by Mekhi Blackmon),0.67,1.4,17.0,2023,256
1.0,1:55,1.0,10.0,GNB 37,10.0,0.0,AJ Dillon left guard for 2 yards (tackle by Ivan Pace),1.4,1.13,17.0,2023,256
1.0,1:14,2.0,8.0,GNB 39,10.0,0.0,Jordan Love pass complete deep right to Bo Melton for 28 yards (tackle by Akayleb Evans),1.13,3.38,17.0,2023,256
1.0,0:37,1.0,10.0,MIN 33,10.0,0.0,"AJ Dillon left guard for no gain (tackle by Ivan Pace). Penalty on Jonathan Bullard: Defensive Offside, 5 yards (accepted) (no play)",3.38,4.11,17.0,2023,256
2.0,15:00,1.0,5.0,MIN 28,10.0,0.0,Aaron Jones left tackle for 2 yards (tackle by Patrick Jones),4.11,3.78,17.0,2023,256
2.0,14:29,2.0,3.0,MIN 26,10.0,0.0,Aaron Jones right tackle for 2 yards (tackle by Ivan Pace and Khyiris Tonga),3.78,3.34,17.0,2023,256
2.0,14:05,3.0,1.0,MIN 24,10.0,0.0,Jordan Love up the middle for no gain (tackle by Harrison Smith),3.34,2.02,17.0,2023,256
2.0,13:24,,,,,,Timeout #1 by Green Bay Packers,,,17.0,2023,256
2.0,13:24,4.0,1.0,MIN 24,10.0,0.0,Jordan Love pass incomplete deep left intended for Bo Melton,2.02,-0.54,17.0,2023,256
2.0,13:19,1.0,10.0,MIN 24,10.0,0.0,Alexander Mattison right tackle for 4 yards (tackle by Keisean Nixon),0.54,0.54,17.0,2023,256
2.0,12:43,2.0,6.0,MIN 28,10.0,0.0,Jaren Hall pass complete short right to Justin Jefferson for 13 yards,0.54,1.66,17.0,2023,256
2.0,11:59,1.0,10.0,MIN 41,10.0,0.0,Jaren Hall pass complete short middle to Jordan Addison for 20 yards (tackle by Corey Ballentine),1.66,2.98,17.0,2023,256
