Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Derek Carr,NOR,0,0,0,0,0,17.0,2023,250
Taysom Hill,NOR,2,2,30,1,22,17.0,2023,250
Jamaal Williams,NOR,4,4,13,0,12,17.0,2023,250
Alvin Kamara,NOR,2,2,4,0,5,17.0,2023,250
Adam Prentice,NOR,1,1,7,0,7,17.0,2023,250
Juwan Johnson,NOR,12,8,90,1,32,17.0,2023,250
Chris Olave,NOR,6,3,26,0,14,17.0,2023,250
Rashid Shaheed,NOR,3,2,14,0,9,17.0,2023,250
Foster Moreau,NOR,1,1,13,0,13,17.0,2023,250
Lynn Bowden Jr.,NOR,1,1,6,0,6,17.0,2023,250
A.T. Perry,NOR,2,1,5,0,5,17.0,2023,250
Baker Mayfield,TAM,0,0,0,0,0,17.0,2023,250
Rachaad White,TAM,4,4,24,0,7,17.0,2023,250
Chase Edmonds,TAM,6,5,40,0,14,17.0,2023,250
Trey Palmer,TAM,5,4,84,1,54,17.0,2023,250
Chris Godwin,TAM,5,3,81,1,47,17.0,2023,250
Mike Evans,TAM,4,3,70,0,35,17.0,2023,250
Cade Otton,TAM,6,2,10,0,6,17.0,2023,250
David Moore,TAM,1,0,0,0,0,17.0,2023,250
Deven Thompkins,TAM,2,1,0,0,0,17.0,2023,250
