Quarter,Time,Down,ToGo,Location,NYJ,CLE,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Jets won the coin toss and deferred, Browns to receive the opening kickoff.",,,17.0,2023,241
1.0,15:00,,,NYJ 35,0.0,0.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,241
1.0,15:00,1.0,10.0,CLE 25,0.0,0.0,Jerome Ford right tackle for 5 yards (tackle by Michael Carter and John Franklin-Myers),0.61,0.74,17.0,2023,241
1.0,14:35,2.0,5.0,CLE 30,0.0,0.0,"Joe Flacco pass complete short left to Elijah Moore for no gain (tackle by D.J. Reed). Penalty on Elijah Moore: Offensive Pass Interference, 10 yards (accepted) (no play)",0.74,-0.61,17.0,2023,241
1.0,14:16,2.0,15.0,CLE 20,0.0,0.0,Joe Flacco pass incomplete short right intended for Jerome Ford,-0.61,-1.29,17.0,2023,241
1.0,14:12,3.0,15.0,CLE 20,0.0,0.0,Joe Flacco pass complete short left to David Njoku for 36 yards (tackle by Jordan Whitehead),-1.29,2.65,17.0,2023,241
1.0,13:24,1.0,10.0,NYJ 44,0.0,0.0,Jerome Ford left guard for 10 yards (tackle by Jordan Whitehead and D.J. Reed),2.65,3.31,17.0,2023,241
1.0,12:44,1.0,10.0,NYJ 34,0.0,0.0,Jerome Ford right tackle for -1 yards (tackle by Tony Adams),3.31,2.64,17.0,2023,241
1.0,12:04,2.0,11.0,NYJ 35,0.0,0.0,Joe Flacco pass complete deep left to David Njoku for 28 yards (tackle by Tony Adams),2.64,5.6,17.0,2023,241
1.0,11:15,1.0,7.0,NYJ 7,0.0,6.0,"Joe Flacco pass complete short left to Jerome Ford for 7 yards, touchdown",5.6,7.0,17.0,2023,241
1.0,11:10,,,NYJ 15,0.0,7.0,Riley Patterson kicks extra point good,0.0,0.0,17.0,2023,241
1.0,11:10,,,CLE 35,0.0,7.0,"Riley Patterson kicks off 65 yards, touchback.",0.0,0.61,17.0,2023,241
1.0,11:10,1.0,10.0,NYJ 25,0.0,7.0,Breece Hall left guard for 2 yards (tackle by Shelby Harris and D'Anthony Bell),0.61,0.33,17.0,2023,241
