Unnamed: 0,SFO,SEA,week,year,game_id
First Downs,23,14,12.0,2023,167
Rush-Yds-TDs,33-169-3,21-88-0,12.0,2023,167
Cmp-Att-Yd-TD-INT,21-31-209-1-1,18-27-180-0-1,12.0,2023,167
Sacked-Yards,1-1,6-48,12.0,2023,167
Net Pass Yards,208,132,12.0,2023,167
Total Yards,377,220,12.0,2023,167
Fumbles-Lost,1-0,1-1,12.0,2023,167
Turnovers,1,2,12.0,2023,167
Penalties-Yards,3-20,5-39,12.0,2023,167
Third Down Conv.,5-11,3-11,12.0,2023,167
Fourth Down Conv.,0-0,0-1,12.0,2023,167
Time of Possession,35:30,24:30,12.0,2023,167
