Unnamed: 0,JAX,HOU,week,year,game_id
First Downs,22,19,12.0,2023,173
Rush-Yds-TDs,30-81-1,18-91-1,12.0,2023,173
Cmp-Att-Yd-TD-INT,23-38-364-1-1,26-36-304-2-0,12.0,2023,173
Sacked-Yards,0-0,4-43,12.0,2023,173
Net Pass Yards,364,261,12.0,2023,173
Total Yards,445,352,12.0,2023,173
Fumbles-Lost,0-0,0-0,12.0,2023,173
Turnovers,1,0,12.0,2023,173
Penalties-Yards,6-35,7-49,12.0,2023,173
Third Down Conv.,7-13,6-13,12.0,2023,173
Fourth Down Conv.,0-0,0-1,12.0,2023,173
Time of Possession,33:54,26:06,12.0,2023,173
