Quarter,Time,Tm,Detail,GNB,DET,week,year,game_id
1.0,12:16,Packers,Jayden Reed 10 yard pass from Jordan Love (Anders Carlson kick),7,0,12.0,2023,165
,8:30,Lions,Sam LaPorta 7 yard pass from Jared Goff (Riley Patterson kick failed),7,6,12.0,2023,165
,3:08,Packers,Tucker Kraft 9 yard pass from Jordan Love (Anders Carlson kick),14,6,12.0,2023,165
,2:12,Packers,Jonathan Owens 27 yard fumble return (Anders Carlson kick failed),20,6,12.0,2023,165
2.0,5:56,Packers,Anders Carlson 43 yard field goal,23,6,12.0,2023,165
3.0,11:46,Lions,David Montgomery 6 yard rush (David Montgomery run),23,14,12.0,2023,165
,3:30,Packers,Christian Watson 16 yard pass from Jordan Love (pass failed),29,14,12.0,2023,165
4.0,0:41,Lions,Josh Reynolds 12 yard pass from Jared Goff (Sam LaPorta pass from Jared Goff),29,22,12.0,2023,165
