Unnamed: 0,TAM,IND,week,year,game_id
First Downs,17,26,12.0,2023,172
Rush-Yds-TDs,19-125-0,27-155-3,12.0,2023,172
Cmp-Att-Yd-TD-INT,20-31-199-2-1,24-41-251-0-1,12.0,2023,172
Sacked-Yards,6-26,2-12,12.0,2023,172
Net Pass Yards,173,239,12.0,2023,172
Total Yards,298,394,12.0,2023,172
Fumbles-Lost,2-1,1-0,12.0,2023,172
Turnovers,2,1,12.0,2023,172
Penalties-Yards,4-24,5-40,12.0,2023,172
Third Down Conv.,5-13,2-11,12.0,2023,172
Fourth Down Conv.,1-1,3-4,12.0,2023,172
Time of Possession,28:39,31:21,12.0,2023,172
