Unnamed: 0,CLE,DEN,week,year,game_id
First Downs,19,17,12.0,2023,175
Rush-Yds-TDs,24-107-0,39-169-2,12.0,2023,175
Cmp-Att-Yd-TD-INT,20-42-190-1-0,13-22-134-1-0,12.0,2023,175
Sacked-Yards,4-28,1-9,12.0,2023,175
Net Pass Yards,162,125,12.0,2023,175
Total Yards,269,294,12.0,2023,175
Fumbles-Lost,5-3,2-1,12.0,2023,175
Turnovers,3,1,12.0,2023,175
Penalties-Yards,8-66,8-71,12.0,2023,175
Third Down Conv.,2-13,6-14,12.0,2023,175
Fourth Down Conv.,2-5,0-1,12.0,2023,175
Time of Possession,27:12,32:48,12.0,2023,175
