Unnamed: 0,BUF,PHI,week,year,game_id
First Downs,29,24,12.0,2023,178
Rush-Yds-TDs,40-173-2,32-185-2,12.0,2023,178
Cmp-Att-Yd-TD-INT,29-51-339-2-1,18-31-200-3-1,12.0,2023,178
Sacked-Yards,1-7,2-7,12.0,2023,178
Net Pass Yards,332,193,12.0,2023,178
Total Yards,505,378,12.0,2023,178
Fumbles-Lost,1-0,1-1,12.0,2023,178
Turnovers,1,2,12.0,2023,178
Penalties-Yards,11-80,4-30,12.0,2023,178
Third Down Conv.,13-22,4-11,12.0,2023,178
Fourth Down Conv.,1-1,0-0,12.0,2023,178
Time of Possession,40:30,26:53,12.0,2023,178
