Quarter,Time,Tm,Detail,KAN,LVR,week,year,game_id
1.0,9:32,Raiders,Jakobi Meyers 18 yard pass from Aidan O'Connell (Daniel Carlson kick),0,7,12.0,2023,177
2.0,12:41,Raiders,Josh Jacobs 63 yard rush (Daniel Carlson kick),0,14,12.0,2023,177
,6:38,Chiefs,Isiah Pacheco 1 yard rush (Harrison Butker kick),7,14,12.0,2023,177
,0:25,Chiefs,Justin Watson 3 yard pass from Patrick Mahomes (Harrison Butker kick),14,14,12.0,2023,177
3.0,9:15,Chiefs,Isiah Pacheco 1 yard rush (Harrison Butker kick),21,14,12.0,2023,177
,2:09,Raiders,Daniel Carlson 34 yard field goal,21,17,12.0,2023,177
4.0,13:40,Chiefs,Rashee Rice 39 yard pass from Patrick Mahomes (Harrison Butker kick),28,17,12.0,2023,177
,3:11,Chiefs,Harrison Butker 32 yard field goal,31,17,12.0,2023,177
