Unnamed: 0,KAN,LVR,week,year,game_id
First Downs,23,16,12.0,2023,177
Rush-Yds-TDs,23-69-2,23-123-1,12.0,2023,177
Cmp-Att-Yd-TD-INT,27-34-298-2-0,23-34-248-1-0,12.0,2023,177
Sacked-Yards,1-7,1-13,12.0,2023,177
Net Pass Yards,291,235,12.0,2023,177
Total Yards,360,358,12.0,2023,177
Fumbles-Lost,0-0,0-0,12.0,2023,177
Turnovers,0,0,12.0,2023,177
Penalties-Yards,4-40,0-0,12.0,2023,177
Third Down Conv.,5-11,7-14,12.0,2023,177
Fourth Down Conv.,0-0,0-2,12.0,2023,177
Time of Possession,30:45,29:15,12.0,2023,177
