Quarter,Time,Down,ToGo,Location,KAN,LVR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Chiefs won the coin toss and deferred, Raiders to receive the opening kickoff.",,,12.0,2023,177
1.0,15:00,,,KAN 35,0.0,0.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,177
1.0,15:00,1.0,10.0,LVR 25,0.0,0.0,Josh Jacobs right tackle for 7 yards (tackle by Drue Tranquill),0.61,1.01,12.0,2023,177
1.0,14:20,2.0,3.0,LVR 32,0.0,0.0,Josh Jacobs left tackle for 1 yard (tackle by Willie Gay),1.01,0.43,12.0,2023,177
1.0,13:37,3.0,2.0,LVR 33,0.0,0.0,Aidan O'Connell pass complete deep left to Davante Adams for 33 yards (tackle by L'Jarius Sneed),0.43,3.31,12.0,2023,177
1.0,12:54,1.0,10.0,KAN 34,0.0,0.0,Josh Jacobs left end for 4 yards (tackle by Justin Reid),3.31,3.31,12.0,2023,177
1.0,12:18,2.0,6.0,KAN 30,0.0,0.0,Josh Jacobs left guard for 3 yards (tackle by Drue Tranquill),3.31,3.01,12.0,2023,177
1.0,11:36,3.0,3.0,KAN 27,0.0,0.0,Aidan O'Connell pass complete short right to Jakobi Meyers for 4 yards (tackle by George Karlaftis),3.01,4.04,12.0,2023,177
1.0,10:59,1.0,10.0,KAN 23,0.0,0.0,Aidan O'Connell pass complete short middle to Jakobi Meyers for 2 yards (tackle by Jaylen Watson),4.04,3.77,12.0,2023,177
1.0,10:19,2.0,8.0,KAN 21,0.0,0.0,Josh Jacobs right tackle for 3 yards (tackle by Mike Edwards and Michael Danna),3.77,3.49,12.0,2023,177
1.0,9:38,3.0,5.0,KAN 18,0.0,6.0,"Aidan O'Connell pass complete short middle to Jakobi Meyers for 18 yards, touchdown",3.49,7.0,12.0,2023,177
1.0,9:32,,,KAN 15,0.0,7.0,Daniel Carlson kicks extra point good,0.0,0.0,12.0,2023,177
1.0,9:32,,,LVR 35,0.0,7.0,"Daniel Carlson kicks off 65 yards,",0.0,0.61,12.0,2023,177
1.0,9:32,1.0,10.0,KAN 25,0.0,7.0,Patrick Mahomes pass complete short left to Isiah Pacheco for -11 yards (tackle by Bilal Nichols),0.61,-1.54,12.0,2023,177
1.0,8:51,2.0,21.0,KAN 14,0.0,7.0,Patrick Mahomes pass incomplete deep middle intended for Travis Kelce,-1.54,-2.55,12.0,2023,177
1.0,8:45,3.0,21.0,KAN 14,0.0,7.0,Patrick Mahomes pass complete short middle to Skyy Moore for 11 yards (tackle by Nate Hobbs),-2.55,-1.7,12.0,2023,177
1.0,8:15,4.0,10.0,KAN 25,0.0,7.0,"Tommy Townsend punts 56 yards, fair catch by DeAndre Carter at LV-19. Penalty on Brandon Bolden: Running Into the Kicker, 5 yards (declined)",-1.7,-0.15,12.0,2023,177
1.0,8:09,1.0,10.0,LVR 19,0.0,7.0,Josh Jacobs left guard for 4 yards (tackle by Tershawn Wharton and Justin Reid),0.15,0.21,12.0,2023,177
1.0,7:29,2.0,6.0,LVR 23,0.0,7.0,Aidan O'Connell pass incomplete short right,0.21,-0.55,12.0,2023,177
1.0,7:23,3.0,6.0,LVR 23,0.0,7.0,Aidan O'Connell pass complete short left to Jakobi Meyers for 18 yards (tackle by Bryan Cook),-0.55,1.66,12.0,2023,177
1.0,6:51,1.0,10.0,LVR 41,0.0,7.0,Josh Jacobs right tackle for 2 yards (tackle by Chris Jones),1.66,1.39,12.0,2023,177
1.0,6:08,2.0,8.0,LVR 43,0.0,7.0,"Aidan O'Connell pass complete short right to Davante Adams for 7 yards (tackle by Derrick Nnadi and L'Jarius Sneed) LVR challenged the first down ruling, and the play was upheld.",1.39,1.62,12.0,2023,177
1.0,5:28,3.0,1.0,KAN 50,0.0,7.0,Jakobi Meyers right end for 2 yards (tackle by George Karlaftis),1.62,2.39,12.0,2023,177
1.0,4:51,1.0,10.0,KAN 48,0.0,7.0,Josh Jacobs right guard for 5 yards (tackle by Drue Tranquill and Justin Reid),2.39,2.52,12.0,2023,177
1.0,4:10,2.0,5.0,KAN 43,0.0,7.0,Aidan O'Connell pass complete short middle to Davante Adams for 9 yards (tackle by L'Jarius Sneed),2.52,3.31,12.0,2023,177
1.0,3:25,1.0,10.0,KAN 34,0.0,7.0,Aidan O'Connell pass complete short left to Hunter Renfrow for 6 yards (tackle by L'Jarius Sneed),3.31,3.58,12.0,2023,177
1.0,3:06,2.0,4.0,KAN 28,0.0,7.0,Aidan O'Connell pass complete short right to Hunter Renfrow for 7 yards (tackle by Chamarri Conner),3.58,4.17,12.0,2023,177
1.0,2:42,1.0,10.0,KAN 21,0.0,7.0,Josh Jacobs up the middle for 1 yard (tackle by Chamarri Conner and Charles Omenihu),4.17,3.63,12.0,2023,177
1.0,2:04,2.0,10.0,KAN 21,0.0,7.0,Josh Jacobs right tackle for -2 yards (tackle by Drue Tranquill),3.63,2.81,12.0,2023,177
1.0,1:24,3.0,11.0,KAN 22,0.0,7.0,Aidan O'Connell pass complete short right to Davante Adams for 10 yards (tackle by L'Jarius Sneed),2.81,2.78,12.0,2023,177
1.0,0:35,4.0,1.0,KAN 12,0.0,7.0,Daniel Carlson 30 yard field goal no good,2.78,-0.28,12.0,2023,177
1.0,0:32,1.0,10.0,KAN 20,0.0,7.0,Patrick Mahomes pass complete short left to Isiah Pacheco for 11 yards (tackle by Nate Hobbs),0.28,1.0,12.0,2023,177
2.0,15:00,1.0,10.0,KAN 31,0.0,7.0,Isiah Pacheco left end for 1 yard (tackle by Nate Hobbs and Robert Spillane),1.0,0.6,12.0,2023,177
2.0,14:23,2.0,9.0,KAN 32,0.0,7.0,Patrick Mahomes pass complete short right to Rashee Rice for 1 yard (tackle by Nate Hobbs),0.6,0.04,12.0,2023,177
2.0,13:41,3.0,8.0,KAN 33,0.0,7.0,Patrick Mahomes pass incomplete deep left intended for Justin Watson,0.04,-1.18,12.0,2023,177
2.0,13:35,4.0,8.0,KAN 33,0.0,7.0,"Tommy Townsend punts 57 yards, returned by DeAndre Carter for 13 yards (tackle by Chamarri Conner)",-1.18,-0.48,12.0,2023,177
2.0,13:23,1.0,10.0,LVR 23,0.0,7.0,"Aidan O'Connell pass complete short middle to Davante Adams for 14 yards (tackle by L'Jarius Sneed). Penalty on L'Jarius Sneed: Defensive Pass Interference, 15 yards (declined)",0.48,1.4,12.0,2023,177
2.0,12:51,1.0,10.0,LVR 37,0.0,13.0,"Josh Jacobs left end for 63 yards, touchdown",1.4,7.0,12.0,2023,177
2.0,12:41,,,KAN 15,0.0,14.0,Daniel Carlson kicks extra point good,0.0,0.0,12.0,2023,177
2.0,12:41,,,LVR 35,0.0,14.0,"Daniel Carlson kicks off 65 yards, returned by Richie James for 29 yards (tackle by Curtis Bolton)",0.0,0.87,12.0,2023,177
2.0,12:35,1.0,10.0,KAN 29,0.0,14.0,Patrick Mahomes pass incomplete short right intended for Rashee Rice,0.87,0.33,12.0,2023,177
2.0,12:33,2.0,10.0,KAN 29,0.0,14.0,Patrick Mahomes pass complete short left to Travis Kelce for 12 yards (tackle by Nate Hobbs),0.33,1.66,12.0,2023,177
2.0,11:55,1.0,10.0,KAN 41,0.0,14.0,Isiah Pacheco left tackle for 4 yards (tackle by Janarius Robinson and John Jenkins),1.66,1.66,12.0,2023,177
2.0,11:17,2.0,6.0,KAN 45,0.0,14.0,Patrick Mahomes scrambles left tackle for 7 yards (tackle by Jack Jones),1.66,2.39,12.0,2023,177
2.0,10:38,1.0,10.0,LVR 48,0.0,14.0,Patrick Mahomes pass complete short middle to Noah Gray for 12 yards (tackle by Nate Hobbs and Robert Spillane),2.39,3.18,12.0,2023,177
2.0,9:58,1.0,10.0,LVR 36,0.0,14.0,Patrick Mahomes pass complete short right to Skyy Moore for 18 yards (tackle by Tre'von Moehrig),3.18,4.37,12.0,2023,177
2.0,9:24,1.0,10.0,LVR 18,0.0,14.0,Patrick Mahomes pass incomplete short right,4.37,3.8,12.0,2023,177
2.0,9:18,2.0,10.0,LVR 18,0.0,14.0,Patrick Mahomes scrambles left end for 2 yards (tackle by Malcolm Koonce),3.8,3.3,12.0,2023,177
2.0,8:44,,,,,,Timeout #1 by Kansas City Chiefs,,,12.0,2023,177
2.0,8:44,3.0,8.0,LVR 16,0.0,14.0,Patrick Mahomes pass complete short middle to Rashee Rice for 10 yards (tackle by Jack Jones),3.3,5.83,12.0,2023,177
2.0,8:03,1.0,6.0,LVR 6,0.0,14.0,Clyde Edwards-Helaire left tackle for 5 yards (tackle by John Jenkins and Marcus Epps),5.83,5.91,12.0,2023,177
2.0,7:21,2.0,1.0,LVR 1,0.0,14.0,Clyde Edwards-Helaire up the middle for no gain (tackle by Malik Reed and Robert Spillane),5.91,5.17,12.0,2023,177
2.0,6:44,,,,,,Timeout #2 by Las Vegas Raiders,,,12.0,2023,177
2.0,6:44,3.0,1.0,LVR 1,6.0,14.0,"Isiah Pacheco up the middle for 1 yard, touchdown",5.17,7.0,12.0,2023,177
2.0,6:38,,,LVR 15,7.0,14.0,Harrison Butker kicks extra point good,0.0,0.0,12.0,2023,177
2.0,6:38,,,KAN 35,7.0,14.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,177
2.0,6:38,1.0,10.0,LVR 25,7.0,14.0,Aidan O'Connell pass complete short left to Josh Jacobs for 8 yards (tackle by L'Jarius Sneed),0.61,1.14,12.0,2023,177
2.0,5:56,2.0,2.0,LVR 33,7.0,14.0,Josh Jacobs up the middle for 3 yards (tackle by Bryan Cook and L'Jarius Sneed),1.14,1.33,12.0,2023,177
2.0,5:12,1.0,10.0,LVR 36,7.0,14.0,Aidan O'Connell pass incomplete short right intended for Jakobi Meyers,1.33,0.79,12.0,2023,177
2.0,5:07,2.0,10.0,LVR 36,7.0,14.0,Zamir White left guard for no gain (tackle by Derrick Nnadi),0.79,0.1,12.0,2023,177
2.0,4:25,3.0,10.0,LVR 36,7.0,14.0,Aidan O'Connell pass complete short left to Ameer Abdullah for 2 yards (tackle by Michael Danna),0.1,-0.85,12.0,2023,177
2.0,3:49,4.0,8.0,LVR 38,7.0,14.0,"AJ Cole punts 51 yards, returned by Richie James for 10 yards (tackle by Malcolm Koonce)",-0.85,-0.34,12.0,2023,177
2.0,3:37,1.0,10.0,KAN 21,7.0,14.0,Patrick Mahomes pass complete short right to Isiah Pacheco for 10 yards (tackle by Divine Deablo),0.34,1.0,12.0,2023,177
2.0,3:06,1.0,10.0,KAN 31,7.0,14.0,Patrick Mahomes pass complete short left to Rashee Rice for 9 yards (tackle by Robert Spillane and Tre'von Moehrig),1.0,1.68,12.0,2023,177
2.0,2:37,2.0,1.0,KAN 40,7.0,14.0,Isiah Pacheco left guard for 3 yards (tackle by John Jenkins and Jerry Tillery),1.68,1.8,12.0,2023,177
2.0,2:15,,,,,,Timeout #2 by Kansas City Chiefs,,,12.0,2023,177
2.0,2:15,1.0,10.0,KAN 43,7.0,14.0,Patrick Mahomes pass complete deep left to Travis Kelce for 27 yards (tackle by Divine Deablo),1.8,3.58,12.0,2023,177
2.0,2:00,1.0,10.0,LVR 30,7.0,14.0,Patrick Mahomes pass complete deep right to Travis Kelce for 23 yards (tackle by Jack Jones),3.58,5.6,12.0,2023,177
2.0,1:14,1.0,7.0,LVR 7,7.0,14.0,Patrick Mahomes pass incomplete short left,5.6,4.76,12.0,2023,177
