Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Matthew Stafford,LAR,0,0,0,0,0,12.0,2023,176
Kyren Williams,LAR,6,6,61,2,24,12.0,2023,176
Royce Freeman,LAR,0,0,0,0,0,12.0,2023,176
Zach Evans,LAR,0,0,0,0,0,12.0,2023,176
Tutu Atwell,LAR,3,3,76,0,42,12.0,2023,176
Tyler Higbee,LAR,5,5,29,2,7,12.0,2023,176
Puka Nacua,LAR,8,4,27,0,14,12.0,2023,176
Cooper Kupp,LAR,5,3,18,0,7,12.0,2023,176
Demarcus Robinson,LAR,2,2,13,0,7,12.0,2023,176
Davis Allen,LAR,1,1,6,0,6,12.0,2023,176
Ben Skowronek,LAR,1,1,-1,0,-1,12.0,2023,176
Kyler Murray,ARI,0,0,0,0,0,12.0,2023,176
James Conner,ARI,5,4,5,0,8,12.0,2023,176
Michael Carter,ARI,4,4,15,0,7,12.0,2023,176
Emari Demercado,ARI,0,0,0,0,0,12.0,2023,176
Blake Gillikin,ARI,0,0,0,0,0,12.0,2023,176
Marquise Brown,ARI,12,6,88,0,36,12.0,2023,176
Trey McBride,ARI,9,7,60,0,16,12.0,2023,176
Rondale Moore,ARI,3,2,35,0,20,12.0,2023,176
Greg Dortch,ARI,9,3,27,1,14,12.0,2023,176
Elijah Higgins,ARI,2,1,26,0,26,12.0,2023,176
