Quarter,Time,Down,ToGo,Location,NWE,NYG,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Patriots won the coin toss and deferred, Giants to receive the opening kickoff.",,,12.0,2023,174
1.0,15:00,,,NWE 35,0.0,0.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,174
1.0,15:00,1.0,10.0,NYG 25,0.0,0.0,Tommy DeVito pass complete short right to Wan'Dale Robinson for 6 yards (tackle by Deatrich Wise),0.61,0.87,12.0,2023,174
1.0,14:26,2.0,4.0,NYG 31,0.0,0.0,Saquon Barkley right tackle for 14 yards (tackle by Jabrill Peppers),0.87,1.93,12.0,2023,174
1.0,13:52,1.0,10.0,NYG 45,0.0,0.0,Tommy DeVito pass complete deep right to Jalin Hyatt for 29 yards,1.93,3.84,12.0,2023,174
1.0,13:14,1.0,10.0,NWE 26,0.0,0.0,Matt Breida right end for no gain (tackle by J.C. Jackson),3.84,3.3,12.0,2023,174
1.0,12:33,2.0,10.0,NWE 26,0.0,0.0,"Tommy DeVito aborted snap, recovered by Jabrill Peppers at NE-26",3.3,-0.67,12.0,2023,174
1.0,12:29,1.0,10.0,NWE 26,0.0,0.0,Rhamondre Stevenson up the middle for 6 yards (tackle by Bobby Okereke),0.67,0.94,12.0,2023,174
1.0,11:54,2.0,4.0,NWE 32,0.0,0.0,Rhamondre Stevenson right end for 2 yards (tackle by Bobby Okereke),0.94,0.5,12.0,2023,174
1.0,11:04,3.0,2.0,NWE 34,0.0,0.0,"Penalty on NWE: Delay of Game, 5 yards (accepted) (no play)",0.5,-0.16,12.0,2023,174
1.0,11:03,3.0,7.0,NWE 29,0.0,0.0,Mac Jones pass incomplete short right intended for DeVante Parker (defended by Adoree' Jackson),-0.16,-1.44,12.0,2023,174
1.0,10:55,4.0,7.0,NWE 29,0.0,0.0,"Bryce Baringer punts 53 yards, returned by Gunner Olszewski for 6 yards (tackle by Cody Davis)",-1.44,-0.54,12.0,2023,174
1.0,10:44,1.0,10.0,NYG 24,0.0,0.0,Tommy DeVito pass complete deep left to Jalin Hyatt for 22 yards (tackle by Kyle Dugger),0.54,1.99,12.0,2023,174
1.0,10:08,1.0,10.0,NYG 46,0.0,0.0,Tommy DeVito sacked by Jabrill Peppers for -7 yards,1.99,0.51,12.0,2023,174
1.0,9:28,2.0,17.0,NYG 39,0.0,0.0,Tommy DeVito pass incomplete short left intended for Saquon Barkley,0.51,-0.16,12.0,2023,174
1.0,9:24,3.0,17.0,NYG 39,0.0,0.0,Tommy DeVito pass incomplete short left intended for Wan'Dale Robinson,-0.16,-0.78,12.0,2023,174
1.0,9:19,4.0,17.0,NYG 39,0.0,0.0,"Jamie Gillan punts 48 yards, recovered by Demario Douglas at NE-13 (tackle by Carter Coughlin)",-0.78,-0.28,12.0,2023,174
1.0,9:10,1.0,10.0,NWE 20,0.0,0.0,Mac Jones pass complete short left to DeVante Parker for 19 yards (tackle by Dane Belton),0.28,1.53,12.0,2023,174
1.0,8:29,1.0,10.0,NWE 39,0.0,0.0,Mac Jones pass incomplete short left intended for Mike Gesicki (defended by Xavier McKinney),1.53,0.99,12.0,2023,174
1.0,8:23,2.0,10.0,NWE 39,0.0,0.0,Ezekiel Elliott right guard for 6 yards (tackle by Jason Pinnock and Adoree' Jackson),0.99,1.09,12.0,2023,174
1.0,7:45,3.0,4.0,NWE 45,0.0,0.0,Mac Jones pass complete short right to Ezekiel Elliott for 5 yards (tackle by Adoree' Jackson),1.09,2.26,12.0,2023,174
1.0,6:59,1.0,10.0,NWE 50,0.0,0.0,Mac Jones pass complete short right to Rhamondre Stevenson for 6 yards (tackle by Adoree' Jackson and Micah McFadden),2.26,2.52,12.0,2023,174
1.0,6:32,2.0,4.0,NYG 44,0.0,0.0,Rhamondre Stevenson up the middle for 4 yards (tackle by Kayvon Thibodeaux),2.52,2.92,12.0,2023,174
1.0,5:53,1.0,10.0,NYG 40,0.0,0.0,Mac Jones pass incomplete short left intended for Demario Douglas,2.92,2.37,12.0,2023,174
1.0,5:52,2.0,10.0,NYG 40,0.0,0.0,Rhamondre Stevenson up the middle for 3 yards (tackle by A'Shawn Robinson and Xavier McKinney),2.37,2.08,12.0,2023,174
1.0,5:09,3.0,7.0,NYG 37,0.0,0.0,Mac Jones pass incomplete short right intended for Tyquan Thornton,2.08,0.79,12.0,2023,174
1.0,5:03,4.0,7.0,NYG 37,0.0,0.0,"Penalty on NWE: Delay of Game, 5 yards (declined) (no play)",0.79,0.79,12.0,2023,174
1.0,5:03,4.0,7.0,NYG 37,0.0,0.0,Bryce Baringer punts 31 yards downed by Brenden Schooler,0.79,0.38,12.0,2023,174
1.0,4:54,1.0,10.0,NYG 6,0.0,0.0,Saquon Barkley up the middle for 3 yards (tackle by Davon Godchaux and Lawrence Guy),-0.38,-0.56,12.0,2023,174
1.0,4:12,2.0,7.0,NYG 9,0.0,0.0,Tommy DeVito pass complete short right to Darius Slayton for 9 yards (tackle by J.C. Jackson),-0.56,0.04,12.0,2023,174
1.0,3:35,1.0,10.0,NYG 18,0.0,0.0,Tommy DeVito pass complete short left to Wan'Dale Robinson for 7 yards (tackle by Myles Bryant),0.04,0.55,12.0,2023,174
1.0,2:58,2.0,3.0,NYG 25,0.0,0.0,Saquon Barkley right end for 1 yard (tackle by Davon Godchaux),0.55,-0.14,12.0,2023,174
1.0,2:16,3.0,2.0,NYG 26,0.0,0.0,Tommy DeVito pass incomplete short left intended for Saquon Barkley (defended by Christian Barmore),-0.14,-1.63,12.0,2023,174
1.0,2:10,4.0,2.0,NYG 26,0.0,0.0,"Jamie Gillan punts 74 yards, touchback.",-1.63,-0.28,12.0,2023,174
1.0,2:01,1.0,10.0,NWE 20,0.0,0.0,Mac Jones pass complete short middle to Rhamondre Stevenson for 7 yards (tackle by Adoree' Jackson),0.28,0.68,12.0,2023,174
1.0,1:28,2.0,3.0,NWE 27,0.0,0.0,Rhamondre Stevenson right tackle for 5 yards (tackle by Bobby Okereke),0.68,1.07,12.0,2023,174
1.0,0:49,1.0,10.0,NWE 32,0.0,0.0,Rhamondre Stevenson left tackle for 3 yards (tackle by Jason Pinnock and Deonte Banks),1.07,0.93,12.0,2023,174
1.0,0:12,2.0,7.0,NWE 35,0.0,0.0,Mac Jones pass deep left intended for Demario Douglas is intercepted by Deonte Banks at NYG-43 and returned for no gain,0.93,-1.8,12.0,2023,174
1.0,0:03,1.0,10.0,NYG 43,0.0,0.0,Saquon Barkley right end for 19 yards (tackle by Shaun Wade and Jabrill Peppers),1.8,3.05,12.0,2023,174
2.0,15:00,1.0,10.0,NWE 38,0.0,0.0,Tommy DeVito pass incomplete deep left intended for Sterling Shepard,3.05,2.51,12.0,2023,174
2.0,14:55,2.0,10.0,NWE 38,0.0,0.0,Saquon Barkley right tackle for 3 yards (tackle by Anfernee Jennings),2.51,2.21,12.0,2023,174
2.0,14:18,3.0,7.0,NWE 35,0.0,0.0,Tommy DeVito pass incomplete short right intended for Sterling Shepard (defended by Mack Wilson),2.21,0.97,12.0,2023,174
2.0,14:13,4.0,7.0,NWE 35,0.0,0.0,"Penalty on NYG: Delay of Game, 5 yards (accepted) (no play)",0.97,0.59,12.0,2023,174
2.0,14:13,4.0,12.0,NWE 40,0.0,0.0,"Jamie Gillan punts 31 yards, fair catch by Demario Douglas at NE-9",0.59,0.38,12.0,2023,174
2.0,14:06,1.0,10.0,NWE 9,0.0,0.0,Mac Jones pass complete short left to Ezekiel Elliott for 1 yard (tackle by Micah McFadden),-0.38,-0.71,12.0,2023,174
2.0,13:25,2.0,9.0,NWE 10,0.0,0.0,Mac Jones pass incomplete short left intended for Mike Gesicki,-0.71,-1.3,12.0,2023,174
2.0,13:20,,,,,,Timeout #1 by New England Patriots,,,12.0,2023,174
2.0,13:20,3.0,9.0,NWE 10,0.0,0.0,Ezekiel Elliott left tackle for 8 yards (tackle by Isaiah Simmons),-1.3,-2.24,12.0,2023,174
2.0,12:39,4.0,1.0,NWE 18,0.0,0.0,"Bryce Baringer punts 40 yards, recovered by Nick McCloud at NYG-42",-2.24,-1.73,12.0,2023,174
2.0,12:30,1.0,10.0,NYG 42,0.0,0.0,Tommy DeVito pass incomplete deep right intended for Jalin Hyatt (defended by J.C. Jackson),1.73,1.19,12.0,2023,174
2.0,12:24,2.0,10.0,NYG 42,0.0,0.0,Saquon Barkley right tackle for no gain (tackle by Kyle Dugger),1.19,0.5,12.0,2023,174
2.0,11:50,3.0,10.0,NYG 42,0.0,0.0,Tommy DeVito scrambles up the middle for 5 yards (tackle by Jalen Mills and Keion White),0.5,-0.26,12.0,2023,174
2.0,11:03,4.0,5.0,NYG 47,0.0,0.0,"Jamie Gillan punts 37 yards, fair catch by Demario Douglas at NE-16. Penalty on Keion White: Unnecessary Roughness / Defense, 8 yards (accepted)",-0.26,0.38,12.0,2023,174
2.0,11:03,1.0,10.0,NWE 8,0.0,0.0,Mac Jones pass complete short left to Kayshon Boutte for 8 yards (tackle by Deonte Banks),-0.38,-0.09,12.0,2023,174
2.0,10:36,2.0,2.0,NWE 16,0.0,0.0,Rhamondre Stevenson up the middle for 15 yards (tackle by Xavier McKinney),-0.09,1.0,12.0,2023,174
2.0,9:56,1.0,10.0,NWE 31,0.0,0.0,Mac Jones pass complete short left to Demario Douglas for 3 yards (tackle by Xavier McKinney),1.0,0.87,12.0,2023,174
2.0,9:15,2.0,7.0,NWE 34,0.0,0.0,Rhamondre Stevenson right end for 2 yards (tackle by D.J. Davidson),0.87,0.43,12.0,2023,174
2.0,8:30,3.0,5.0,NWE 36,0.0,0.0,Mac Jones pass complete short left to Demario Douglas for 9 yards (tackle by Deonte Banks),0.43,1.93,12.0,2023,174
2.0,8:01,1.0,10.0,NWE 45,0.0,0.0,Mac Jones pass complete short left to Demario Douglas for 14 yards (tackle by Xavier McKinney),1.93,2.85,12.0,2023,174
2.0,7:28,1.0,10.0,NYG 41,0.0,0.0,Rhamondre Stevenson right end for 1 yard (tackle by Bobby Okereke),2.85,2.44,12.0,2023,174
2.0,6:44,2.0,9.0,NYG 40,0.0,0.0,Mac Jones pass complete short left to Rhamondre Stevenson for -6 yards (tackle by Kayvon Thibodeaux),2.44,0.96,12.0,2023,174
2.0,5:58,3.0,15.0,NYG 46,0.0,0.0,Mac Jones pass complete short left to DeVante Parker for 17 yards (tackle by Jason Pinnock),0.96,3.64,12.0,2023,174
2.0,5:21,1.0,10.0,NYG 29,0.0,0.0,Mac Jones pass complete short left to DeVante Parker for 6 yards (tackle by Deonte Banks),3.64,3.91,12.0,2023,174
2.0,4:44,2.0,4.0,NYG 23,0.0,0.0,Mac Jones pass incomplete short middle intended for DeVante Parker,3.91,3.2,12.0,2023,174
2.0,4:39,3.0,4.0,NYG 23,0.0,0.0,Mac Jones pass short middle intended for Demario Douglas is intercepted by Bobby Okereke at NYG-19 and returned for 55 yards (tackle by Mac Jones and Sidy Sow),3.2,-3.84,12.0,2023,174
2.0,4:27,1.0,10.0,NWE 26,0.0,0.0,Saquon Barkley right end for 2 yards (tackle by Keion White and Jahlani Tavai),3.84,3.57,12.0,2023,174
2.0,3:47,2.0,8.0,NWE 24,0.0,0.0,Tommy DeVito pass incomplete short left,3.57,2.87,12.0,2023,174
2.0,3:38,3.0,8.0,NWE 24,0.0,0.0,Tommy DeVito pass complete short middle to Jalin Hyatt for 12 yards (tackle by Myles Bryant),2.87,4.78,12.0,2023,174
