Unnamed: 0,CAR,TEN,week,year,game_id
First Downs,19,15,12.0,2023,170
Rush-Yds-TDs,32-96-1,24-80-2,12.0,2023,170
Cmp-Att-Yd-TD-INT,18-31-194-0-0,18-28-185-0-0,12.0,2023,170
Sacked-Yards,4-32,1-1,12.0,2023,170
Net Pass Yards,162,184,12.0,2023,170
Total Yards,258,264,12.0,2023,170
Fumbles-Lost,1-1,0-0,12.0,2023,170
Turnovers,1,0,12.0,2023,170
Penalties-Yards,4-35,8-53,12.0,2023,170
Third Down Conv.,6-16,2-11,12.0,2023,170
Fourth Down Conv.,2-3,1-1,12.0,2023,170
Time of Possession,33:49,26:11,12.0,2023,170
