Quarter,Time,Down,ToGo,Location,JAX,HOU,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Jaguars won the coin toss and deferred, Texans to receive the opening kickoff.",,,12.0,2023,173
1.0,15:00,,,JAX 35,0.0,0.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,173
1.0,15:00,1.0,10.0,HOU 25,0.0,0.0,C.J. Stroud pass complete short left to Tank Dell for 16 yards (tackle by Montaric Brown),0.61,1.66,12.0,2023,173
1.0,14:33,1.0,10.0,HOU 41,0.0,0.0,C.J. Stroud pass complete short right to Andrew Beck for 1 yard (tackle by Rayshawn Jenkins),1.66,1.26,12.0,2023,173
1.0,13:59,2.0,9.0,HOU 42,0.0,0.0,Devin Singletary right end for no gain (tackle by Devin Lloyd),1.26,0.56,12.0,2023,173
1.0,13:16,3.0,9.0,HOU 42,0.0,0.0,C.J. Stroud scrambles left end for 5 yards (tackle by Travon Walker),0.56,-0.26,12.0,2023,173
1.0,12:09,4.0,4.0,HOU 47,0.0,0.0,"Penalty on HOU: Delay of Game, 6 yards (accepted) (no play)",-0.26,-0.65,12.0,2023,173
1.0,11:56,4.0,10.0,HOU 41,0.0,0.0,"Cameron Johnston punts 46 yards, fair catch by Parker Washington at JAC-13",-0.65,0.32,12.0,2023,173
1.0,11:48,1.0,10.0,JAX 13,0.0,0.0,Travis Etienne left end for 6 yards (tackle by Steven Nelson),-0.32,0.03,12.0,2023,173
1.0,11:10,2.0,4.0,JAX 19,0.0,0.0,Trevor Lawrence pass complete short middle to Evan Engram for 21 yards (tackle by Jalen Pitre and DeAndre Houston-Carson),0.03,1.6,12.0,2023,173
1.0,10:39,1.0,10.0,JAX 40,0.0,0.0,Travis Etienne up the middle for 3 yards (tackle by Jonathan Greenard and Henry To'oTo'o),1.6,1.46,12.0,2023,173
1.0,10:00,2.0,7.0,JAX 43,0.0,0.0,Travis Etienne left tackle for 1 yard (tackle by Sheldon Rankins),1.46,0.89,12.0,2023,173
1.0,9:23,3.0,6.0,JAX 44,0.0,0.0,Trevor Lawrence pass complete short right to Zay Jones for 10 yards (tackle by Derek Stingley),0.89,2.52,12.0,2023,173
1.0,8:44,1.0,10.0,HOU 46,0.0,0.0,Travis Etienne up the middle for -1 yards (tackle by Jalen Pitre and Khalil Davis),2.52,1.84,12.0,2023,173
1.0,8:05,2.0,11.0,HOU 47,0.0,0.0,Trevor Lawrence pass incomplete short left intended for Christian Kirk,1.84,1.16,12.0,2023,173
1.0,8:00,3.0,11.0,HOU 47,0.0,0.0,Trevor Lawrence pass complete short right to Christian Kirk for 18 yards (tackle by Tavierre Thomas and Derek Stingley),1.16,3.64,12.0,2023,173
1.0,7:24,1.0,10.0,HOU 29,0.0,0.0,Travis Etienne left end for -1 yards (tackle by Henry To'oTo'o),3.64,2.97,12.0,2023,173
1.0,6:41,2.0,11.0,HOU 30,0.0,0.0,Trevor Lawrence pass incomplete short left intended for Evan Engram,2.97,2.28,12.0,2023,173
1.0,6:35,3.0,11.0,HOU 30,0.0,0.0,Trevor Lawrence pass complete short right to Travis Etienne for 8 yards (tackle by DeAndre Houston-Carson and Christian Harris),2.28,2.09,12.0,2023,173
1.0,5:58,4.0,3.0,HOU 22,3.0,0.0,Brandon McManus 40 yard field goal good,2.09,3.0,12.0,2023,173
1.0,5:54,,,JAX 35,3.0,0.0,"Brandon McManus kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,173
1.0,5:54,1.0,10.0,HOU 25,3.0,0.0,"Devin Singletary right tackle for no gain (tackle by Montaric Brown). Penalty on Shaq Mason: Offensive Holding, 10 yards (accepted) (no play)",0.61,-0.41,12.0,2023,173
1.0,5:32,1.0,20.0,HOU 15,3.0,0.0,C.J. Stroud pass complete short middle to Tank Dell for 9 yards (tackle by Devin Lloyd and Rayshawn Jenkins),-0.41,-0.07,12.0,2023,173
1.0,4:54,2.0,11.0,HOU 24,3.0,0.0,C.J. Stroud pass incomplete short middle intended for Tank Dell (defended by Devin Lloyd),-0.07,-0.76,12.0,2023,173
1.0,4:50,3.0,11.0,HOU 24,3.0,0.0,C.J. Stroud pass incomplete deep right intended for Tank Dell,-0.76,-1.77,12.0,2023,173
1.0,4:41,4.0,11.0,HOU 24,3.0,0.0,"Cameron Johnston punts 53 yards, returned by Parker Washington for 22 yards (tackle by Ka'dar Hollman)",-1.77,-1.93,12.0,2023,173
1.0,4:24,1.0,10.0,JAX 45,3.0,0.0,Trevor Lawrence pass incomplete short left intended for Travis Etienne,1.93,1.38,12.0,2023,173
1.0,4:19,2.0,10.0,JAX 45,3.0,0.0,Trevor Lawrence pass incomplete short right intended for Christian Kirk (defended by Tavierre Thomas),1.38,0.7,12.0,2023,173
1.0,4:15,3.0,10.0,JAX 45,3.0,0.0,Travis Etienne right end for 4 yards (tackle by Tavierre Thomas and Jalen Pitre),0.7,-0.13,12.0,2023,173
1.0,3:42,4.0,6.0,JAX 49,3.0,0.0,Logan Cooke punts 42 yards out of bounds,-0.13,0.38,12.0,2023,173
1.0,3:34,1.0,10.0,HOU 9,3.0,0.0,Dameon Pierce up the middle for 3 yards (tackle by Rayshawn Jenkins and Foyesade Oluokun),-0.38,-0.56,12.0,2023,173
1.0,2:56,2.0,7.0,HOU 12,3.0,0.0,C.J. Stroud scrambles left end for 6 yards (tackle by Devin Lloyd),-0.56,-0.37,12.0,2023,173
1.0,2:26,3.0,1.0,HOU 18,3.0,0.0,Dameon Pierce up the middle for 1 yard (tackle by Devin Lloyd and Tre Herndon),-0.37,0.15,12.0,2023,173
1.0,1:43,1.0,10.0,HOU 19,3.0,0.0,Dameon Pierce right end for 2 yards (tackle by Foyesade Oluokun),0.15,-0.06,12.0,2023,173
1.0,1:01,2.0,8.0,HOU 21,3.0,0.0,C.J. Stroud sacked by Roy Robertson-Harris for -7 yards,-0.06,-1.92,12.0,2023,173
1.0,0:20,3.0,15.0,HOU 14,3.0,0.0,"C.J. Stroud pass complete deep middle to Tank Dell for no gain (tackle by Darious Williams). Penalty on Tank Dell: Illegal Shift, 5 yards (accepted) (no play)",-1.92,-2.59,12.0,2023,173
2.0,15:00,3.0,20.0,HOU 9,3.0,0.0,C.J. Stroud pass complete short right to Nico Collins for 14 yards (tackle by Darious Williams),-2.59,-1.83,12.0,2023,173
2.0,14:29,4.0,6.0,HOU 23,3.0,0.0,"Cameron Johnston punts 45 yards, fair catch by Parker Washington at JAC-32",-1.83,-1.07,12.0,2023,173
2.0,14:22,1.0,10.0,JAX 32,3.0,0.0,Travis Etienne left tackle for 3 yards (tackle by Khalil Davis and Christian Harris),1.07,0.93,12.0,2023,173
2.0,13:40,2.0,7.0,JAX 35,3.0,0.0,Trevor Lawrence pass complete short right to Travis Etienne for 6 yards (tackle by Christian Harris),0.93,1.03,12.0,2023,173
2.0,12:56,3.0,1.0,JAX 41,3.0,0.0,D'Ernest Johnson up the middle for 3 yards (tackle by Sheldon Rankins and Jonathan Greenard),1.03,1.86,12.0,2023,173
2.0,12:18,1.0,10.0,JAX 44,3.0,0.0,Tank Bigsby left guard for 6 yards (tackle by Steven Nelson and Tavierre Thomas),1.86,2.13,12.0,2023,173
2.0,11:41,2.0,4.0,JAX 50,3.0,0.0,Trevor Lawrence pass complete short right to D'Ernest Johnson for 42 yards (tackle by Christian Harris),2.13,5.37,12.0,2023,173
2.0,10:57,1.0,8.0,HOU 8,3.0,0.0,D'Ernest Johnson right guard for 3 yards (tackle by Will Anderson and Blake Cashman),5.37,5.15,12.0,2023,173
2.0,10:15,2.0,5.0,HOU 5,3.0,0.0,"Travis Etienne up the middle for no gain (tackle by Will Anderson). Penalty on Christian Kirk: Illegal Shift, 5 yards (declined)",5.15,4.26,12.0,2023,173
2.0,9:50,3.0,5.0,HOU 5,3.0,0.0,"Trevor Lawrence pass incomplete short left intended for Zay Jones (defended by DeAndre Houston-Carson). Penalty on DeAndre Houston-Carson: Defensive Pass Interference, 4 yards (accepted) (no play)",4.26,6.97,12.0,2023,173
