Unnamed: 0,WAS,DAL,week,year,game_id
First Downs,23,21,12.0,2023,166
Rush-Yds-TDs,27-108-1,18-100-1,12.0,2023,166
Cmp-Att-Yd-TD-INT,28-44-300-0-1,22-32-331-4-0,12.0,2023,166
Sacked-Yards,4-32,0-0,12.0,2023,166
Net Pass Yards,268,331,12.0,2023,166
Total Yards,376,431,12.0,2023,166
Fumbles-Lost,0-0,1-0,12.0,2023,166
Turnovers,1,0,12.0,2023,166
Penalties-Yards,4-25,7-48,12.0,2023,166
Third Down Conv.,7-15,6-10,12.0,2023,166
Fourth Down Conv.,0-3,0-0,12.0,2023,166
Time of Possession,36:54,23:06,12.0,2023,166
