Quarter,Time,Down,ToGo,Location,TAM,IND,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Colts won the coin toss and deferred, Buccaneers to receive the opening kickoff.",,,12.0,2023,172
1.0,15:00,,,IND 35,0.0,0.0,"Matt Gay kicks off 65 yards, touchback.",0.0,0.61,12.0,2023,172
1.0,15:00,1.0,10.0,TAM 25,0.0,0.0,Baker Mayfield pass complete short right to Chris Godwin for 5 yards (tackle by Kenny Moore and Darrell Baker),0.61,0.74,12.0,2023,172
1.0,14:21,2.0,5.0,TAM 30,0.0,0.0,Baker Mayfield pass complete short right to Mike Evans for 4 yards (tackle by Kenny Moore),0.74,0.56,12.0,2023,172
1.0,13:40,3.0,1.0,TAM 34,0.0,0.0,Baker Mayfield pass complete short left to Cade Otton for 24 yards (tackle by DeForest Buckner),0.56,2.79,12.0,2023,172
1.0,12:54,1.0,10.0,IND 42,0.0,0.0,Rachaad White up the middle for 4 yards (tackle by E.J. Speed),2.79,2.78,12.0,2023,172
1.0,12:12,2.0,6.0,IND 38,0.0,0.0,Rachaad White left end for 7 yards (tackle by Zaire Franklin),2.78,3.51,12.0,2023,172
1.0,11:29,1.0,10.0,IND 31,0.0,0.0,Baker Mayfield pass incomplete deep left intended for Mike Evans,3.51,2.97,12.0,2023,172
1.0,11:24,2.0,10.0,IND 31,0.0,0.0,Rachaad White up the middle for 7 yards (tackle by Zaire Franklin),2.97,3.2,12.0,2023,172
1.0,10:44,3.0,3.0,IND 24,0.0,0.0,Baker Mayfield pass complete short left to Trey Palmer for 4 yards (tackle by Jaylon Jones),3.2,4.24,12.0,2023,172
1.0,10:05,1.0,10.0,IND 20,0.0,0.0,Baker Mayfield pass incomplete short right,4.24,3.69,12.0,2023,172
1.0,10:00,2.0,10.0,IND 20,0.0,0.0,Baker Mayfield pass incomplete short left intended for David Moore (defended by Julian Blackmon),3.69,3.01,12.0,2023,172
1.0,9:57,3.0,10.0,IND 20,0.0,0.0,Baker Mayfield pass complete deep left to Mike Evans for 19 yards (tackle by Jaylon Jones),3.01,6.97,12.0,2023,172
1.0,9:32,1.0,1.0,IND 1,0.0,0.0,Penalty on Samson Ebukam: Defensive Offside (accepted) (no play),6.97,6.97,12.0,2023,172
1.0,9:11,1.0,1.0,IND 1,0.0,0.0,Baker Mayfield up the middle for no gain (tackle by DeForest Buckner and Zaire Franklin),6.97,5.91,12.0,2023,172
1.0,8:39,2.0,1.0,IND 1,0.0,0.0,"Penalty on Aaron Stinnie: False Start, 4 yards (accepted) (no play)",5.91,5.15,12.0,2023,172
1.0,8:15,2.0,5.0,IND 5,0.0,0.0,Rachaad White up the middle for 2 yards (tackle by Samson Ebukam and Eric Johnson),5.15,4.72,12.0,2023,172
1.0,7:36,3.0,3.0,IND 3,0.0,0.0,Kyle Trask pass incomplete short right intended for Chris Godwin,4.72,3.04,12.0,2023,172
1.0,7:31,4.0,3.0,IND 3,3.0,0.0,Chase McLaughlin 21 yard field goal good,3.04,3.0,12.0,2023,172
1.0,7:28,,,TAM 35,3.0,0.0,"Jake Camarda kicks off 61 yards,",0.0,0.61,12.0,2023,172
1.0,7:28,1.0,10.0,IND 25,3.0,0.0,Gardner Minshew pass complete short left to Josh Downs for 9 yards (tackle by Devin White),0.61,1.28,12.0,2023,172
1.0,6:49,2.0,1.0,IND 34,3.0,0.0,Gardner Minshew pass complete short left to Michael Pittman for 11 yards (tackle by Devin White and Zyon McCollum),1.28,1.93,12.0,2023,172
1.0,6:14,1.0,10.0,IND 45,3.0,0.0,"Gardner Minshew pass incomplete deep middle intended for Michael Pittman. Penalty on Carlton Davis: Defensive Holding, 5 yards (accepted) (no play)",1.93,2.26,12.0,2023,172
1.0,6:08,1.0,10.0,IND 50,3.0,0.0,Gardner Minshew pass complete short right to Alec Pierce for 8 yards (tackle by SirVocea Dennis),2.26,2.79,12.0,2023,172
