Unnamed: 0,PIT,CIN,week,year,game_id
First Downs,22,10,12.0,2023,171
Rush-Yds-TDs,33-153-1,11-25-0,12.0,2023,171
Cmp-Att-Yd-TD-INT,24-33-278-0-0,19-26-227-1-1,12.0,2023,171
Sacked-Yards,2-10,4-30,12.0,2023,171
Net Pass Yards,268,197,12.0,2023,171
Total Yards,421,222,12.0,2023,171
Fumbles-Lost,1-1,1-0,12.0,2023,171
Turnovers,1,1,12.0,2023,171
Penalties-Yards,5-55,5-36,12.0,2023,171
Third Down Conv.,8-17,2-10,12.0,2023,171
Fourth Down Conv.,0-0,0-0,12.0,2023,171
Time of Possession,37:17,22:43,12.0,2023,171
