Quarter,Time,Tm,Detail,BAL,LAC,week,year,game_id
1.0,9:03,Chargers,Cameron Dicker 39 yard field goal,0,3,12.0,2023,179
2.0,10:41,Ravens,Zay Flowers 3 yard pass from Lamar Jackson (Justin Tucker kick),7,3,12.0,2023,179
,1:12,Ravens,Justin Tucker 42 yard field goal,10,3,12.0,2023,179
3.0,10:53,Ravens,Justin Tucker 48 yard field goal,13,3,12.0,2023,179
4.0,8:32,Chargers,Gerald Everett 3 yard pass from Justin Herbert (Cameron Dicker kick),13,10,12.0,2023,179
,1:36,Ravens,Zay Flowers 37 yard rush (Justin Tucker kick),20,10,12.0,2023,179
