Player,Tm,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving TD,Receiving Lng,week,year,game_id
Jordan Love,GNB,0,0,0,0,0,12.0,2023,165
AJ Dillon,GNB,3,3,38,0,22,12.0,2023,165
Jayden Reed,GNB,8,4,34,1,14,12.0,2023,165
Patrick Taylor,GNB,1,1,4,0,4,12.0,2023,165
Christian Watson,GNB,7,5,94,1,53,12.0,2023,165
Malik Heath,GNB,4,4,46,0,16,12.0,2023,165
Romeo Doubs,GNB,4,3,37,0,16,12.0,2023,165
Tucker Kraft,GNB,2,2,15,1,9,12.0,2023,165
Ben Sims,GNB,1,0,0,0,0,12.0,2023,165
Jared Goff,DET,0,0,0,0,0,12.0,2023,165
David Montgomery,DET,1,0,0,0,0,12.0,2023,165
Jahmyr Gibbs,DET,8,4,19,0,7,12.0,2023,165
Kalif Raymond,DET,5,5,90,0,24,12.0,2023,165
Amon-Ra St. Brown,DET,11,9,95,0,28,12.0,2023,165
Jameson Williams,DET,3,2,51,0,38,12.0,2023,165
Sam LaPorta,DET,8,5,47,1,31,12.0,2023,165
Josh Reynolds,DET,4,2,15,1,12,12.0,2023,165
Brock Wright,DET,1,1,9,0,9,12.0,2023,165
Malcolm Rodriguez,DET,1,1,6,0,6,12.0,2023,165
Jalen Reeves-Maybin,DET,0,0,0,0,0,12.0,2023,165
