Quarter,Time,Tm,Detail,JAX,HOU,week,year,game_id
1.0,5:54,Jaguars,Brandon McManus 40 yard field goal,3,0,12.0,2023,173
2.0,9:43,Jaguars,Trevor Lawrence 1 yard rush (Brandon McManus kick),10,0,12.0,2023,173
,6:37,Texans,Tank Dell 7 yard pass from C.J. Stroud (Matt Ammendola kick),10,7,12.0,2023,173
,2:24,Jaguars,Brandon McManus 48 yard field goal,13,7,12.0,2023,173
3.0,8:10,Texans,C.J. Stroud 1 yard rush (Matt Ammendola kick),13,14,12.0,2023,173
,4:29,Jaguars,Calvin Ridley 1 yard pass from Trevor Lawrence (Calvin Ridley pass from Trevor Lawrence),21,14,12.0,2023,173
4.0,11:20,Jaguars,Brandon McManus 53 yard field goal,24,14,12.0,2023,173
,5:15,Texans,Nico Collins 17 yard pass from C.J. Stroud (Matt Ammendola kick),24,21,12.0,2023,173
