Quarter,Time,Tm,Detail,CLE,DEN,week,year,game_id
1.0,8:14,Broncos,Samaje Perine 3 yard rush (Wil Lutz kick),0,7,12.0,2023,175
2.0,11:11,Broncos,Russell Wilson 2 yard rush (Wil Lutz kick),0,14,12.0,2023,175
,5:59,Browns,Dustin Hopkins 36 yard field goal,3,14,12.0,2023,175
,0:22,Browns,Dustin Hopkins 24 yard field goal,6,14,12.0,2023,175
3.0,6:42,Browns,Harrison Bryant 2 yard pass from Dorian Thompson-Robinson (pass failed),12,14,12.0,2023,175
,1:25,Broncos,Wil Lutz 23 yard field goal,12,17,12.0,2023,175
4.0,13:29,Broncos,Adam Trautman 8 yard pass from Russell Wilson (Wil Lutz kick),12,24,12.0,2023,175
,4:19,Broncos,Wil Lutz 34 yard field goal,12,27,12.0,2023,175
,2:19,Broncos,"Safety, P.J. Walker sacked in end zone by",12,29,12.0,2023,175
