Quarter,Time,Down,ToGo,Location,CAR,TEN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Panthers won the coin toss and deferred, Titans to receive the opening kickoff.",,,12.0,2023,170
1.0,15:00,,,CAR 35,0.0,0.0,"Eddy Pineiro kicks off 66 yards, returned by Tyjae Spears for 21 yards (tackle by Ihmir Smith-Marsette and Tae Davis)",0.0,0.28,12.0,2023,170
1.0,14:55,1.0,10.0,TEN 20,0.0,0.0,Will Levis pass complete short middle to DeAndre Hopkins for 19 yards (tackle by Kamu Grugier-Hill and Vonn Bell),0.28,1.53,12.0,2023,170
1.0,14:17,1.0,10.0,TEN 39,0.0,0.0,Will Levis pass incomplete short right intended for Nick Westbrook-Ikhine,1.53,0.99,12.0,2023,170
1.0,14:09,2.0,10.0,TEN 39,0.0,0.0,Derrick Henry right tackle for 1 yard (tackle by Deion Jones),0.99,0.43,12.0,2023,170
1.0,13:26,3.0,9.0,TEN 40,0.0,0.0,Will Levis pass incomplete short right intended for Tyjae Spears (defended by Derrick Brown),0.43,-0.72,12.0,2023,170
1.0,13:21,4.0,9.0,TEN 40,0.0,0.0,"Ryan Stonehouse punts 60 yards, touchback.",-0.72,-0.28,12.0,2023,170
1.0,13:14,1.0,10.0,CAR 20,0.0,0.0,Bryce Young pass complete short right to Jonathan Mingo for 22 yards (tackle by Amani Hooker),0.28,1.73,12.0,2023,170
1.0,12:39,1.0,10.0,CAR 42,0.0,0.0,Chuba Hubbard right end for 8 yards (tackle by Harold Landry),1.73,2.27,12.0,2023,170
1.0,12:00,2.0,2.0,CAR 50,0.0,0.0,Miles Sanders right end for 1 yard (tackle by Harold Landry and TK McLendon),2.27,1.69,12.0,2023,170
1.0,11:13,3.0,1.0,TEN 49,0.0,0.0,Miles Sanders right end for -8 yards (tackle by Denico Autry),1.69,-0.52,12.0,2023,170
1.0,10:21,4.0,9.0,CAR 43,0.0,0.0,"Johnny Hekker punts 50 yards, returned by Eric Garror for 11 yards (tackle by Ian Thomas). Penalty on Anthony Kendall: Defensive Holding, 9 yards (accepted)",-0.52,0.38,12.0,2023,170
1.0,10:10,1.0,10.0,TEN 9,0.0,0.0,Derrick Henry up the middle for 5 yards (tackle by Shy Tuttle and Kamu Grugier-Hill),-0.38,-0.39,12.0,2023,170
1.0,9:35,2.0,5.0,TEN 14,0.0,0.0,Will Levis pass complete short right to Nick Westbrook-Ikhine for 7 yards (tackle by Donte Jackson),-0.39,0.34,12.0,2023,170
1.0,8:56,1.0,10.0,TEN 21,0.0,0.0,Derrick Henry right guard for 4 yards (tackle by Derrick Brown),0.34,0.34,12.0,2023,170
1.0,8:11,2.0,6.0,TEN 25,0.0,0.0,Will Levis sacked by Brian Burns for -1 yards,0.34,-0.49,12.0,2023,170
1.0,7:25,3.0,7.0,TEN 24,0.0,0.0,"Penalty on Dillon Radunz: False Start, 5 yards (accepted) (no play)",-0.49,-1.22,12.0,2023,170
1.0,7:09,3.0,12.0,TEN 19,0.0,0.0,Will Levis pass complete short left to DeAndre Hopkins for 11 yards (tackle by David Long),-1.22,-1.37,12.0,2023,170
1.0,6:24,4.0,1.0,TEN 30,0.0,0.0,Derrick Henry left end for 3 yards (tackle by Vonn Bell),-1.37,1.14,12.0,2023,170
1.0,5:44,1.0,10.0,TEN 33,0.0,0.0,Will Levis pass complete short left to Chris Moore for 7 yards (tackle by Donte Jackson),1.14,1.54,12.0,2023,170
1.0,5:02,2.0,3.0,TEN 40,0.0,0.0,Derrick Henry left tackle for no gain (tackle by Kamu Grugier-Hill),1.54,0.83,12.0,2023,170
1.0,4:17,3.0,3.0,TEN 40,0.0,0.0,Will Levis pass complete short left to Chris Moore for 12 yards (tackle by Donte Jackson),0.83,2.39,12.0,2023,170
1.0,3:36,1.0,10.0,CAR 48,0.0,0.0,Will Levis pass complete short middle to Josh Whyle for 11 yards (tackle by Xavier Woods),2.39,3.12,12.0,2023,170
1.0,2:57,1.0,10.0,CAR 37,0.0,0.0,Will Levis pass complete short right to Nick Westbrook-Ikhine for 7 yards (tackle by David Long),3.12,3.52,12.0,2023,170
1.0,2:35,2.0,3.0,CAR 30,0.0,0.0,Derrick Henry up the middle for 4 yards (tackle by LaBryan Ray),3.52,3.84,12.0,2023,170
1.0,1:55,1.0,10.0,CAR 26,0.0,0.0,Will Levis pass complete deep left to Chigoziem Okonkwo for 25 yards (tackle by Kamu Grugier-Hill),3.84,6.97,12.0,2023,170
1.0,1:15,,,,,,Timeout #1 by Tennessee Titans,,,12.0,2023,170
1.0,1:15,1.0,1.0,CAR 1,0.0,0.0,Derrick Henry right tackle for no gain (tackle by Troy Hill),6.97,5.91,12.0,2023,170
1.0,0:40,2.0,1.0,CAR 1,0.0,6.0,"Derrick Henry left guard for 1 yard, touchdown",5.91,7.0,12.0,2023,170
1.0,0:34,,,CAR 15,0.0,7.0,Nick Folk kicks extra point good,0.0,0.0,12.0,2023,170
1.0,0:34,,,TEN 35,0.0,7.0,"Nick Folk kicks off 66 yards, returned by D'Shawn Jamison for 22 yards (tackle by Luke Gifford)",0.0,0.34,12.0,2023,170
1.0,0:30,1.0,10.0,CAR 21,0.0,7.0,Bryce Young pass complete short right to Ihmir Smith-Marsette for 14 yards (tackle by Amani Hooker),0.34,1.27,12.0,2023,170
2.0,15:00,1.0,10.0,CAR 35,0.0,7.0,Miles Sanders left tackle for 2 yards (tackle by Azeez Al-Shaair),1.27,0.99,12.0,2023,170
2.0,14:24,2.0,8.0,CAR 37,0.0,7.0,Chuba Hubbard up the middle for 3 yards (tackle by Jack Gibbens and Kyle Peko),0.99,0.7,12.0,2023,170
2.0,13:40,3.0,5.0,CAR 40,0.0,7.0,"Bryce Young pass incomplete short right. Penalty on Kristian Fulton: Defensive Holding, 5 yards (accepted) (no play)",0.7,1.93,12.0,2023,170
2.0,13:34,1.0,10.0,CAR 45,0.0,7.0,Bryce Young pass incomplete deep left intended for Adam Thielen (defended by Sean Murphy-Bunting) (defended by Jack Gibbens),1.93,1.38,12.0,2023,170
2.0,13:28,2.0,10.0,CAR 45,0.0,7.0,Miles Sanders right guard for no gain (tackle by Harold Landry and Azeez Al-Shaair),1.38,0.7,12.0,2023,170
2.0,12:43,3.0,10.0,CAR 45,0.0,7.0,Bryce Young scrambles left guard for 11 yards (tackle by Amani Hooker),0.7,2.65,12.0,2023,170
2.0,12:00,1.0,10.0,TEN 44,0.0,7.0,Chuba Hubbard right guard for 3 yards (tackle by Jack Gibbens and Azeez Al-Shaair),2.65,2.52,12.0,2023,170
2.0,11:19,2.0,7.0,TEN 41,0.0,7.0,Miles Sanders left guard for 2 yards (tackle by Jeffery Simmons and Rashad Weaver),2.52,2.08,12.0,2023,170
2.0,10:56,3.0,5.0,TEN 39,0.0,7.0,Chuba Hubbard up the middle for 2 yards (tackle by Jeffery Simmons),2.08,0.79,12.0,2023,170
2.0,10:16,4.0,3.0,TEN 37,0.0,7.0,"Bryce Young pass complete short middle to Stephen Sullivan for 13 yards (tackle by K'Von Wallace) TEN challenged the pass completion ruling, and the play was upheld.",0.79,3.97,12.0,2023,170
2.0,9:55,1.0,10.0,TEN 24,0.0,7.0,"Miles Sanders right end for no gain (tackle by Sean Murphy-Bunting). Penalty on Ian Thomas: Offensive Holding, 10 yards (accepted) (no play)",3.97,3.31,12.0,2023,170
2.0,9:37,1.0,20.0,TEN 34,0.0,7.0,Bryce Young pass complete short right to Adam Thielen for 2 yards (tackle by Roger McCreary),3.31,2.35,12.0,2023,170
2.0,9:03,2.0,18.0,TEN 32,0.0,7.0,Bryce Young pass incomplete short right,2.35,1.69,12.0,2023,170
2.0,8:59,3.0,18.0,TEN 32,0.0,7.0,Bryce Young pass incomplete short left intended for Miles Sanders,1.69,1.24,12.0,2023,170
2.0,8:56,4.0,18.0,TEN 32,3.0,7.0,Eddy Pineiro 50 yard field goal good,1.24,3.0,12.0,2023,170
2.0,8:51,,,CAR 35,3.0,7.0,"Eddy Pineiro kicks off 66 yards, returned by Tyjae Spears for 33 yards (tackle by Jammie Robinson)",0.0,1.07,12.0,2023,170
2.0,8:44,1.0,10.0,TEN 32,3.0,7.0,Derrick Henry left tackle for -4 yards (tackle by Derrick Brown),1.07,-0.01,12.0,2023,170
2.0,7:58,2.0,14.0,TEN 28,3.0,7.0,Will Levis pass complete short right to Derrick Henry for no gain (tackle by David Long and Deion Jones),-0.01,-0.69,12.0,2023,170
2.0,7:14,3.0,14.0,TEN 28,3.0,7.0,Will Levis pass complete short left to Kyle Philips for -3 yards (tackle by Brian Burns),-0.69,-1.7,12.0,2023,170
2.0,6:45,4.0,17.0,TEN 25,3.0,7.0,Ryan Stonehouse punts 71 yards downed by Anthony Kendall,-1.7,0.38,12.0,2023,170
2.0,6:32,1.0,10.0,CAR 4,3.0,7.0,Chuba Hubbard right guard for 4 yards (tackle by Elijah Molden and Monty Rice),-0.38,-0.49,12.0,2023,170
2.0,5:57,2.0,6.0,CAR 8,3.0,7.0,Miles Sanders right tackle for 4 yards (tackle by Elijah Molden),-0.49,-0.48,12.0,2023,170
2.0,5:12,3.0,2.0,CAR 12,3.0,7.0,Miles Sanders right guard for 3 yards (tackle by Azeez Al-Shaair and Sean Murphy-Bunting),-0.48,-0.22,12.0,2023,170
2.0,4:32,1.0,10.0,CAR 15,3.0,7.0,Bryce Young pass incomplete short right intended for Jonathan Mingo,-0.22,-0.71,12.0,2023,170
2.0,4:27,2.0,10.0,CAR 15,3.0,7.0,Bryce Young pass incomplete short right intended for Jonathan Mingo,-0.71,-1.37,12.0,2023,170
2.0,4:23,3.0,10.0,CAR 15,3.0,7.0,Bryce Young pass complete short middle to DJ Chark for 15 yards (tackle by Kristian Fulton),-1.37,0.94,12.0,2023,170
2.0,3:37,1.0,10.0,CAR 30,3.0,7.0,"Penalty on Cade Mays: False Start, 5 yards (accepted) (no play)",0.94,0.61,12.0,2023,170
2.0,3:12,1.0,15.0,CAR 25,3.0,7.0,"Bryce Young sacked by Arden Key for -8 yards. Bryce Young fumbles (forced by Arden Key), recovered by Jeffery Simmons at CAR-17 and returned for 2 yards (tackle by Ikem Ekwonu)",0.61,-4.58,12.0,2023,170
2.0,3:06,1.0,10.0,CAR 15,3.0,7.0,Will Levis pass complete short middle to Chigoziem Okonkwo for 5 yards (tackle by DeShawn Williams and Vonn Bell),4.58,4.84,12.0,2023,170
2.0,2:30,2.0,5.0,CAR 10,3.0,13.0,"Derrick Henry left guard for 10 yards, touchdown",4.84,7.0,12.0,2023,170
2.0,2:27,,,CAR 15,3.0,14.0,Nick Folk kicks extra point good,0.0,0.0,12.0,2023,170
