Quarter,Time,Tm,Detail,SFO,SEA,week,year,game_id
1.0,10:01,49ers,Deebo Samuel 2 yard rush (Jake Moody kick),7,0,12.0,2023,167
,9:07,Seahawks,Jason Myers 51 yard field goal,7,3,12.0,2023,167
2.0,13:11,49ers,Christian McCaffrey 1 yard rush (Jake Moody kick),14,3,12.0,2023,167
,5:11,49ers,Christian McCaffrey 8 yard rush (Jake Moody kick),21,3,12.0,2023,167
,0:39,49ers,Jake Moody 32 yard field goal,24,3,12.0,2023,167
3.0,11:23,Seahawks,Jordyn Brooks 12 yard interception return (Jason Myers kick),24,10,12.0,2023,167
,3:13,Seahawks,Jason Myers 30 yard field goal,24,13,12.0,2023,167
4.0,7:51,49ers,Brandon Aiyuk 28 yard pass from Brock Purdy (Jake Moody kick),31,13,12.0,2023,167
