Quarter,Time,Tm,Detail,NWE,NYG,week,year,game_id
2,1:53,Giants,Isaiah Hodgins 12 yard pass from Tommy DeVito (Randy Bullock kick),0,7,12.0,2023,174
3,8:02,Patriots,Rhamondre Stevenson 7 yard rush (Chad Ryland kick),7,7,12.0,2023,174
4,8:10,Giants,Randy Bullock 42 yard field goal,7,10,12.0,2023,174
